Taste ID,인테리어 스타일,메이트 구성,우선순위,예산,Logic ID,추천 개수,KITCHEN 추천,TV 추천,LIVING 추천,평균 점수,최고 점수
1,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,500만원 미만 (실속형),1,10,10,0,0,0.596,0.600
2,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,500만원 미만 (실속형),2,10,8,2,0,0.806,0.830
3,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,500만원 미만 (실속형),3,10,10,0,0,0.596,0.600
4,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,500만원 미만 (실속형),4,10,10,0,0,0.596,0.600
5,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"500만원 ~ 1,500만원 (표준형)",5,10,0,10,0,0.710,0.710
6,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"500만원 ~ 1,500만원 (표준형)",6,10,0,10,0,0.570,0.570
7,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"500만원 ~ 1,500만원 (표준형)",7,10,0,10,0,0.710,0.710
8,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"500만원 ~ 1,500만원 (표준형)",6,10,0,10,0,0.570,0.570
9,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"1,500만원 ~ 3,000만원 (고급형)",8,10,10,0,0,0.650,0.650
10,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"1,500만원 ~ 3,000만원 (고급형)",9,10,10,0,0,0.650,0.650
11,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"1,500만원 ~ 3,000만원 (고급형)",10,10,10,0,0,0.830,0.830
12,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"1,500만원 ~ 3,000만원 (고급형)",10,10,10,0,0,0.830,0.830
13,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"3,000만원 이상 (하이엔드)",11,10,10,0,0,0.830,0.830
14,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"3,000만원 이상 (하이엔드)",1,10,10,0,0,0.720,0.720
15,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"3,000만원 이상 (하이엔드)",12,10,10,0,0,0.680,0.680
16,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"3,000만원 이상 (하이엔드)",13,10,10,0,0,0.720,0.720
17,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,500만원 미만 (실속형),14,10,8,2,0,0.806,0.830
18,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,500만원 미만 (실속형),14,10,8,2,0,0.806,0.830
19,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,500만원 미만 (실속형),15,10,10,0,0,0.596,0.600
20,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,500만원 미만 (실속형),16,10,10,0,0,0.674,0.680
21,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,"500만원 ~ 1,500만원 (표준형)",3,10,0,10,0,0.570,0.570
22,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,"500만원 ~ 1,500만원 (표준형)",6,10,0,10,0,0.570,0.570
23,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,"500만원 ~ 1,500만원 (표준형)",12,10,0,10,0,0.580,0.580
24,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,"500만원 ~ 1,500만원 (표준형)",12,10,0,10,0,0.580,0.580
25,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,"1,500만원 ~ 3,000만원 (고급형)",3,10,10,0,0,0.720,0.720
26,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,"1,500만원 ~ 3,000만원 (고급형)",17,10,10,0,0,0.720,0.720
27,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,"1,500만원 ~ 3,000만원 (고급형)",18,10,10,0,0,0.650,0.650
28,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,"1,500만원 ~ 3,000만원 (고급형)",19,10,10,0,0,0.830,0.830
29,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,"3,000만원 이상 (하이엔드)",20,10,10,0,0,0.680,0.680
30,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,"3,000만원 이상 (하이엔드)",1,10,10,0,0,0.720,0.720
31,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,"3,000만원 이상 (하이엔드)",21,10,10,0,0,0.650,0.650
32,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,"3,000만원 이상 (하이엔드)",10,10,10,0,0,0.830,0.830
33,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,500만원 미만 (실속형),22,10,10,0,0,0.644,0.650
34,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,500만원 미만 (실속형),21,10,10,0,0,0.644,0.650
35,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,500만원 미만 (실속형),23,10,10,0,0,0.644,0.650
36,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,500만원 미만 (실속형),20,10,10,0,0,0.674,0.680
37,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,"500만원 ~ 1,500만원 (표준형)",5,10,0,10,0,0.710,0.710
38,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,"500만원 ~ 1,500만원 (표준형)",23,10,0,10,0,0.560,0.560
39,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,"500만원 ~ 1,500만원 (표준형)",24,10,0,10,0,0.570,0.570
40,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,"500만원 ~ 1,500만원 (표준형)",25,10,0,10,0,0.560,0.560
41,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,"1,500만원 ~ 3,000만원 (고급형)",26,10,10,0,0,0.830,0.830
42,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,"1,500만원 ~ 3,000만원 (고급형)",27,10,10,0,0,0.720,0.720
43,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,"1,500만원 ~ 3,000만원 (고급형)",12,10,10,0,0,0.680,0.680
44,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,"1,500만원 ~ 3,000만원 (고급형)",23,10,10,0,0,0.650,0.650
45,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,"3,000만원 이상 (하이엔드)",28,10,10,0,0,0.650,0.650
46,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,"3,000만원 이상 (하이엔드)",29,10,10,0,0,0.650,0.650
47,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,"3,000만원 이상 (하이엔드)",24,10,10,0,0,0.720,0.720
48,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),지구를 지키는 에너지 효율,"3,000만원 이상 (하이엔드)",18,10,10,0,0,0.650,0.650
49,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,500만원 미만 (실속형),30,10,8,2,0,0.806,0.830
50,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,500만원 미만 (실속형),2,10,8,2,0,0.806,0.830
51,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,500만원 미만 (실속형),12,10,10,0,0,0.674,0.680
52,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,500만원 미만 (실속형),23,10,10,0,0,0.644,0.650
53,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,"500만원 ~ 1,500만원 (표준형)",31,10,0,10,0,0.570,0.570
54,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,"500만원 ~ 1,500만원 (표준형)",22,10,0,10,0,0.560,0.560
55,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,"500만원 ~ 1,500만원 (표준형)",32,10,0,10,0,0.710,0.710
56,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,"500만원 ~ 1,500만원 (표준형)",33,10,0,10,0,0.570,0.570
57,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,"1,500만원 ~ 3,000만원 (고급형)",22,10,10,0,0,0.650,0.650
58,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,"1,500만원 ~ 3,000만원 (고급형)",21,10,10,0,0,0.650,0.650
59,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,"1,500만원 ~ 3,000만원 (고급형)",32,10,10,0,0,0.830,0.830
60,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,"1,500만원 ~ 3,000만원 (고급형)",34,10,10,0,0,0.650,0.650
61,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,"3,000만원 이상 (하이엔드)",35,10,10,0,0,0.680,0.680
62,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,"3,000만원 이상 (하이엔드)",10,10,10,0,0,0.830,0.830
63,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,"3,000만원 이상 (하이엔드)",36,10,10,0,0,0.680,0.680
64,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),가성비를 추구하는 가격,"3,000만원 이상 (하이엔드)",37,10,10,0,0,0.720,0.720
65,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,500만원 미만 (실속형),36,10,10,0,0,0.674,0.680
66,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,500만원 미만 (실속형),15,10,10,0,0,0.596,0.600
67,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,500만원 미만 (실속형),5,10,8,2,0,0.806,0.830
68,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,500만원 미만 (실속형),20,10,10,0,0,0.674,0.680
69,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,"500만원 ~ 1,500만원 (표준형)",7,10,0,10,0,0.710,0.710
70,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,"500만원 ~ 1,500만원 (표준형)",5,10,0,10,0,0.710,0.710
71,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,"500만원 ~ 1,500만원 (표준형)",38,10,0,10,0,0.570,0.570
72,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,"500만원 ~ 1,500만원 (표준형)",19,10,0,10,0,0.710,0.710
73,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,"1,500만원 ~ 3,000만원 (고급형)",39,10,10,0,0,0.680,0.680
74,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,"1,500만원 ~ 3,000만원 (고급형)",9,10,10,0,0,0.650,0.650
75,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,"1,500만원 ~ 3,000만원 (고급형)",8,10,10,0,0,0.650,0.650
76,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,"1,500만원 ~ 3,000만원 (고급형)",26,10,10,0,0,0.830,0.830
77,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,"3,000만원 이상 (하이엔드)",32,10,10,0,0,0.830,0.830
78,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,"3,000만원 이상 (하이엔드)",40,10,10,0,0,0.720,0.720
79,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,"3,000만원 이상 (하이엔드)",36,10,10,0,0,0.680,0.680
80,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),인테리어를 완성하는 디자인,"3,000만원 이상 (하이엔드)",31,10,10,0,0,0.720,0.720
81,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,500만원 미만 (실속형),30,10,8,2,0,0.806,0.830
82,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,500만원 미만 (실속형),29,10,10,0,0,0.644,0.650
83,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,500만원 미만 (실속형),39,10,10,0,0,0.674,0.680
84,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,500만원 미만 (실속형),41,10,8,2,0,0.806,0.830
85,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,"500만원 ~ 1,500만원 (표준형)",13,10,0,10,0,0.570,0.570
86,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,"500만원 ~ 1,500만원 (표준형)",38,10,0,10,0,0.570,0.570
87,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,"500만원 ~ 1,500만원 (표준형)",31,10,0,10,0,0.570,0.570
88,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,"500만원 ~ 1,500만원 (표준형)",39,10,0,10,0,0.580,0.580
89,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,"1,500만원 ~ 3,000만원 (고급형)",24,10,10,0,0,0.720,0.720
90,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,"1,500만원 ~ 3,000만원 (고급형)",18,10,10,0,0,0.650,0.650
91,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,"1,500만원 ~ 3,000만원 (고급형)",20,10,10,0,0,0.680,0.680
92,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,"1,500만원 ~ 3,000만원 (고급형)",14,10,10,0,0,0.830,0.830
93,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,"3,000만원 이상 (하이엔드)",23,10,10,0,0,0.650,0.650
94,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,"3,000만원 이상 (하이엔드)",37,10,10,0,0,0.720,0.720
95,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,"3,000만원 이상 (하이엔드)",5,10,10,0,0,0.830,0.830
96,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),삶을 편하게 해주는 AI/스마트 기능,"3,000만원 이상 (하이엔드)",16,10,10,0,0,0.680,0.680
97,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,500만원 미만 (실속형),23,10,10,0,0,0.644,0.650
98,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,500만원 미만 (실속형),42,10,10,0,0,0.644,0.650
99,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,500만원 미만 (실속형),29,10,10,0,0,0.644,0.650
100,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,500만원 미만 (실속형),11,10,8,2,0,0.806,0.830
101,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,"500만원 ~ 1,500만원 (표준형)",31,10,0,10,0,0.570,0.570
102,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,"500만원 ~ 1,500만원 (표준형)",21,10,0,10,0,0.560,0.560
103,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,"500만원 ~ 1,500만원 (표준형)",43,10,0,10,0,0.580,0.580
104,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,"500만원 ~ 1,500만원 (표준형)",44,10,0,10,0,0.570,0.570
105,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,"1,500만원 ~ 3,000만원 (고급형)",1,10,10,0,0,0.720,0.720
106,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,"1,500만원 ~ 3,000만원 (고급형)",25,10,10,0,0,0.650,0.650
107,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,"1,500만원 ~ 3,000만원 (고급형)",42,10,10,0,0,0.650,0.650
108,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,"1,500만원 ~ 3,000만원 (고급형)",45,10,10,0,0,0.650,0.650
109,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,"3,000만원 이상 (하이엔드)",16,10,10,0,0,0.680,0.680
110,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,"3,000만원 이상 (하이엔드)",29,10,10,0,0,0.650,0.650
111,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,"3,000만원 이상 (하이엔드)",46,10,10,0,0,0.650,0.650
112,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),지구를 지키는 에너지 효율,"3,000만원 이상 (하이엔드)",16,10,10,0,0,0.680,0.680
113,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),가성비를 추구하는 가격,500만원 미만 (실속형),39,10,10,0,0,0.674,0.680
114,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),가성비를 추구하는 가격,500만원 미만 (실속형),8,10,10,0,0,0.644,0.650
115,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),가성비를 추구하는 가격,500만원 미만 (실속형),36,10,10,0,0,0.674,0.680
116,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),가성비를 추구하는 가격,500만원 미만 (실속형),29,10,10,0,0,0.644,0.650
117,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),가성비를 추구하는 가격,"500만원 ~ 1,500만원 (표준형)",35,10,0,10,0,0.580,0.580
118,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),가성비를 추구하는 가격,"500만원 ~ 1,500만원 (표준형)",17,10,0,10,0,0.570,0.570
119,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),가성비를 추구하는 가격,"500만원 ~ 1,500만원 (표준형)",26,10,0,10,0,0.710,0.710
120,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),가성비를 추구하는 가격,"500만원 ~ 1,500만원 (표준형)",8,10,0,10,0,0.560,0.560
121,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),가성비를 추구하는 가격,"1,500만원 ~ 3,000만원 (고급형)",18,10,10,0,0,0.650,0.650
122,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),가성비를 추구하는 가격,"1,500만원 ~ 3,000만원 (고급형)",29,10,10,0,0,0.650,0.650
123,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),가성비를 추구하는 가격,"1,500만원 ~ 3,000만원 (고급형)",15,10,10,0,0,0.720,0.720
124,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),가성비를 추구하는 가격,"1,500만원 ~ 3,000만원 (고급형)",28,10,10,0,0,0.650,0.650
125,모던 & 미니멀 (Modern & Minimal),우리 둘이 알콩달콩 (2인/신혼),가성비를 추구하는 가격,"3,000만원 이상 (하이엔드)",6,10,10,0,0,0.720,0.720
