제품군,URL,제품명,모델명,상태,정가,판매가,최대혜택가,구매혜택안내,6년구독가격,최대혜택구독가격,평점,이미지리스트,히터(Heater),가열방식,형태,정격 고주파 출력(W),소비전력(레인지),소비전력(오븐),스마트 인버터,스팀,조리 형태,"조리온도(발효, ℃)",용량 (가용용량)(L),"조리온도(오븐, ℃)","조리온도(건조, ℃)",소비전력(그릴),Door 닫힘 감지기능,스팀 청소 가능,멀티클린,탈취,잔수제거(스팀기),스팀기 세정,잊음방지 기능,절전 기능,조리실 건조,잠금,Auto Cool 기능,이지클린(항균처리),조리실 형태,도어형태,글라스 부(패턴),도어 색상,조작부,디스플레이,외관 색상,무게 (kg),"내부 치수(WXHXD,mm)","제품 크기 (WXHXD,mm)",설치환경,ThinQ,스마트진단,해동,에어프라이,레인지기능,그릴기능,식품건조,발효기능,슬로우쿡,스팀요리,토스트,스팀토스트,자동요리,에어수비드,물통,물받이,법랑접시,구이전용팬,사용설명서,KC 인증 필 유무,KC인증조회,전기용품 안전인증(확인신고) 번호,전자파 적합성 인증(등록) 번호 (무선모듈),전자파 적합성 인증(등록) 번호,최저소비효율기준,정격전압,소비전력 (W),동일모델의 출시년월,제조자 (수입자),제조국,품질보증기준,A/S 책임자와 전화번호,출력조절단계,출력조절(W),스팀 타올,젖병 소독,인공지능 쿡,회전유리접시,회전링,회전축,발열팬,높은 석쇠,낮은 석쇠,스팀용기,턴테이블,구이석쇠,오븐기능
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mlj32ewso,LG 디오스 오브제컬렉션 광파오븐32L,MLJ32EWSO,판매중,"900,000원","789,000원","705,900원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 19,300 원",월 0원,5.0,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10560841/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/360view/product/microwave/MLJ32H_SO.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10560841/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10560841/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10560841/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10560841/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10560841/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10560841/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10560841/gallery/small07.jpg']",트리플광파히터,트리플광파쿡+스팀,정통형(스팀분사형),1000,"1,850","2,200",O,직접분사,자동+수동,40,32(32),100~230,40~90,"1,850",O,O,O,O,O,O,O,O,O,O,O,X,모서리둥근 사각조리실,상하도어,불투명,카밍 베이지,터치 & 다이얼,LCD,에센스 화이트,21.4,440 x 235 x 310,527 x 394 x 480,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",O,O,O,O,O,O,O,O,O,O,O,X,"에어프라이(17), 레인지(7), 오븐(15), 구이(16), 토스트(5), 스팀(6)",X,1,1,1,1,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-18002,R-R-LGE-LCWB-002,R-R-LGE-MLJ32ERS3,만족,220V / 60Hz,"2,800",202504,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,,,,,,,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mw30bdn,LG 전자레인지30L,MW30BDN,판매중,"199,000원","169,000원","169,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10586838/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10586838/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10586838/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10586838/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10586838/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10586838/gallery/small05.jpg']",,,슬림형,900,"1,350",,X,,자동+수동,,30(17),,,,X,X,X,X,X,X,O,O,X,O,X,O,사각조리실,좌우도어,불투명,블랙,패널터치,LED,블랙,13.1,359 x 218 x 379,508 x 290 x 400,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",X,O,O,X,O,X,X,X,X,X,X,X,"자동데우기(3), 자동요리(3)",X,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-25001,,R-R-LGE-MW30BDN5,만족,220V / 60Hz,"1,350",2025-02,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,180 / 360 / 540 / 720 / 900,X,X,X,1,1,,,,,,,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mlj32hws,LG 디오스 오브제컬렉션 광파오븐32L,MLJ32HWS,판매중,"950,000원","834,000원","747,800원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 21,500 원",월 0원,5.0,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10358835/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10358835/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10358835/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10358835/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10358835/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10358835/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10358835/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10358835/gallery/small07.jpg']",트리플광파히터,트리플광파쿡+스팀,정통형(스팀분사형),1000,"1,850","2,200",O,직접분사,자동+수동,40,32(32),100~230,40~90,"1,850",O,O,O,O,O,O,O,O,O,O,O,X,모서리둥근 사각조리실,상하도어,불투명,카밍 에센스 화이트,터치 & 다이얼,LCD,에센스 화이트,21.4,440 x 235 x 310,527 x 394 x 480,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",O,O,O,O,O,O,O,O,O,O,O,X,"에어프라이(17), 레인지(7), 오븐(15), 구이(16), 토스트(5), 스팀(6)",O,1,1,1,1,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-18002,R-R-LGE-LCWB-002,R-R-LGE-MLJ32ERS3,만족,220V / 60Hz,"2,800",202404,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,,,,,,,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mw23fd,LG 디오스 전자레인지23L,MW23FD,판매중,"189,000원","149,000원","149,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10494830/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10494830/gallery/MW23FD.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10494830/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10494830/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10494830/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10494830/gallery/small04.jpg']",,,슬림형,1000,"1,570",,O,,,,23(13),,,,O,,,O,X,,O,O,,O,O,O,사각조리실,좌우도어,불투명,미스트 베이지,패널터치,LED,미스트 베이지,8.5,322 x 228 x 335,476 x 272 x 369,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",X,O,O,X,O,X,X,O,X,X,X,X,"위생케어(3), 자동데우기(3), 자동요리(5), 발효(2), 냉동식품(6), 보온",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-17002,,MSIP-REM-LGE-MW23ED6,만족,220V / 60Hz,"1,570",2025-1,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,200 / 400 / 600 / 800 / 1000,,O,,1,1,1,,,,,,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mlj32ers,LG 디오스 오브제컬렉션 광파오븐32L,MLJ32ERS,판매중,"1,055,000원","950,000원","855,600원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 21,500 원",월 0원,5.0,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10200826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10200826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10200826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10200826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10200826/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10200826/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10200826/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10200826/gallery/small07.jpg']",트리플광파히터,트리플광파쿡+스팀,정통형(스팀분사형),1000,"1,850","2,200",O,직접분사,자동+수동,40,32(32),100~230,40~90,"1,850",O,O,O,O,O,O,O,O,O,O,O,X,모서리둥근 사각조리실,상하도어,불투명,카밍 베이지,터치 & 다이얼,LCD,블랙,21.4,440 x 235 x 310,527 x 394 x 480,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",O,O,O,O,O,O,O,O,O,O,O,X,"에어프라이(17), 레인지(7), 오븐(15), 구이(16), 토스트(5), 스팀(6)",O,1,1,1,1,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-18002,R-R-LGE-LCWB-002,R-R-LGE-MLJ32ERS3,만족,220V / 60Hz,"2,800",202403,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,,,,,,,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mw20gdn,LG 전자레인지20L,MW20GDN,판매중,"169,000원","129,000원","129,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10101826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10101826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10101826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10101826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10101826/gallery/small04.jpg']",,,슬림형,700,"1,050",,X,,자동+수동,,20(11),,,,O,,,X,,,O,O,,O,O,O,사각조리실,좌우도어,불투명,화이트,패널터치,LED,화이트,9.4,317 x 204 x 294,454 x 261 x 328,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",X,O,O,,,,,,,,,,"자동데우기(3), 자동요리(3)",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-22001,,R-R-LGE-MW20CDN2,만족,220V / 60Hz,"1,050",202307,,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,140 / 280 / 420 / 560 / 700,,X,,1,1,,,,,,,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mlj39ewo,LG 디오스 오브제컬렉션 광파오븐39L,MLJ39EWO,판매중,"490,000원","399,000원","399,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10101827/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10101827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10101827/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10101827/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10101827/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10101827/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10101827/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md10101827/gallery/small07.jpg']",듀얼광파히터,멀티광파 가열시스템(광파),슬림형,1100,"1,800","2,000",O,X,자동+수동,,39(23),,,,O,,X,X,X,X,O,O,X,O,O,O,사각조리실,상하도어,불투명,미스트 베이지,다이얼,LED,블랙,15.1,395 x 262 x 378,540 x 325 x 523,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",O,O,O,O (자동요리만 지원),O,O,O,O,O,,X,X,"레인지(10), 에어프라이(15), 특선구이(10), 제과제빵(10), 웰빙요리(15)",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-17001,,R-R-LGE-ML39BW0,만족,220V / 60Hz,"2,200",202308,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,200 / 400 / 700 / 900 / 1100,X,O,,1,1,1,1,1,1,,,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mwj20edn,LG 디오스 오브제컬렉션 전자레인지20L,MWJ20EDN,판매중,"179,000원","152,000원","152,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09840826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/360view/product/microwave/MWJ20EDN.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09840826/gallery/mwj20edn.akor_f1_2g.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09840826/gallery/mwj20edn.akor_f2_2g.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09840826/gallery/mwj20edn.akor_f3_2g.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09840826/gallery/mwj20edn.akor_f4_2g.jpg']",,,슬림형,700,"1,050",,X,,자동+수동,,20(11),,,,O,,,X,,,O,O,,O,O,O,사각조리실,좌우도어,투명,크리스탈 베이지,패널터치,LED,스킨 베이지,9.4,317 x 204 x 294,454 x 261 x 328,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",X,O,O,,,,,,,,,,"자동데우기(3), 자동요리(3)",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-22001,,R-R-LGE-MW20CDN2,만족,220V / 60Hz,"1,050",202212,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,140 / 280 / 420 / 560 / 700,,X,,1,1,,,,,,,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mlj39ww,LG 디오스 오브제컬렉션 광파오븐39L,MLJ39WW,판매중,"540,000원","427,000원","427,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09857826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09857826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09857826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09857826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09857826/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09857826/gallery/small05.jpg']",듀얼광파히터,멀티광파 가열시스템(광파),슬림형,1100,"1,800","2,000",O,X,자동+수동,,39(23),,,,O,,,X,,,O,O,X,O,O,O,사각조리실,상하도어,불투명,미스트 크림 화이트,다이얼,LED,블랙,15.1,395 x 262 x 378,540 x 325 x 523,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",O,O,O,O,O,O,O,O,O,,X,X,"레인지(10), 특선구이(15), 제과제빵(10), 건조, 발효(10), 에어프라이(15), 찜요리(10)",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-17001,,R-R-LGE-ML39BW0,만족,220V / 60Hz,"2,200",202301,,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,200 / 400 / 700 / 900 / 1100,,,,1,1,1,1,1,1,1,,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mwj23e,LG 디오스 오브제컬렉션 전자레인지23L,MWJ23E,판매중,"230,000원","180,000원","180,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09173826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/360view/product/microwave/MWJ23E.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09173826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09173826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09173826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09173826/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09173826/gallery/small05.jpg']",,,슬림형,1000,"1,570",,O,,자동+수동,,23(13),,,,O,,,O,,,O,O,,O,O,O,사각조리실,좌우도어,투명,크리스탈 베이지,판넬터치,LED,스킨 베이지,8.5,322 x 228 x 335,476 x 272 x 369,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",X,O,O,,,,,,,,,,"자동데우기(3),자동요리(5),위생케어(3),냉동식품(6), 발효(2), 보온",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-17002,,MSIP-REM-LGE-MW23ED6﻿,만족,220V / 60Hz,"1,570",202203,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,200 / 400 / 600 / 800 / 1000,O,O,,1,1,,,,,,O,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mw20cdn,LG 전자레인지20L,MW20CDN,판매중,"159,000원","145,000원","145,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09926828/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/360view/product/microwave/MW20CDN.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09926828/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09926828/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09926828/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09926828/gallery/small04.jpg']",,,슬림형,,,,,,자동+수동,,,,,,O,,,X,,,O,O,,O,X,O,사각조리실,,투명,블랙,패널터치,LED,블랙,9.4,317 x 204 x 294,454 x 261 x 328,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",X,O,O,,,,,,,,,,"자동데우기(3), 자동요리(3)",,1,,,1,,,,,,,만족,220V / 60Hz,"1,050",2022-12,LG전자㈜,중국,,LG전자서비스센터 / 1544-7777,5,140 / 280 / 420 / 560 / 700,,X,,,,,,,,,,1,
