제품군,URL,제품명,모델명,상태,정가,판매가,최대혜택가,구매혜택안내,6년구독가격,최대혜택구독가격,평점,이미지리스트,히터(Heater),가열방식,형태,정격 고주파 출력(W),소비전력(레인지),소비전력(오븐),스마트 인버터,스팀,조리 형태,"조리온도(발효, ℃)",용량 (가용용량)(L),"조리온도(오븐, ℃)","조리온도(건조, ℃)",소비전력(그릴),Door 닫힘 감지기능,스팀 청소 가능,멀티클린,탈취,잔수제거(스팀기),스팀기 세정,잊음방지 기능,절전 기능,조리실 건조,잠금,Auto Cool 기능,이지클린(항균처리),조리실 형태,도어형태,글라스 부(패턴),도어 색상,조작부,디스플레이,외관 색상,무게 (kg),"내부 치수(WXHXD,mm)","제품 크기 (WXHXD,mm)",설치환경,ThinQ,스마트진단,해동,에어프라이,레인지기능,그릴기능,식품건조,발효기능,슬로우쿡,스팀요리,토스트,스팀토스트,자동요리,에어수비드,물통,물받이,법랑접시,구이전용팬,사용설명서,KC 인증 필 유무,KC인증조회,전기용품 안전인증(확인신고) 번호,전자파 적합성 인증(등록) 번호 (무선모듈),전자파 적합성 인증(등록) 번호,최저소비효율기준,정격전압,소비전력 (W),동일모델의 출시년월,제조자 (수입자),제조국,품질보증기준,A/S 책임자와 전화번호,출력조절단계,출력조절(W),스팀 타올,젖병 소독,인공지능 쿡,회전유리접시,회전링,회전축,발열팬,높은 석쇠,낮은 석쇠,스팀용기,턴테이블,구이석쇠,오븐기능
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mwj25e,LG 디오스 오브제컬렉션 전자레인지25L,MWJ25E,판매중,"280,000원","269,000원","269,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09144829/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/360view/product/microwave/MWJ25E.png', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09144829/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09144829/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09144829/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09144829/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09144829/gallery/small05.jpg']",,,슬림형,1000,"1,570",,O,,자동+수동,,25(13),,,,O,,,O,,,O,O,,O,O,O,사각조리실,좌우도어,투명,크리스탈 베이지,글라스터치 + 팝업다이얼,LED,스킨 베이지,8.8,322 x 228 x 335,476 x 272 x 370,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",X,O,O,,,,,,,,,,"자동데우기(3),자동요리(5),위생케어(3),냉동식품(6), 발효(2), 보온",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-17002,,MSIP-REM-LGE-MW25L6,만족,220V / 60Hz,"1,570",202203,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,200 / 400 / 600 / 800 / 1000,O,O,,1,1,,,,,,O,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mwj23p,LG 디오스 오브제컬렉션 전자레인지23L,MWJ23P,판매중,"230,000원","184,000원","184,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09173827/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/360view/product/microwave/MWJ23P.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09173827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09173827/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09173827/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09173827/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09173827/gallery/small05.jpg']",,,슬림형,1000,"1,570",,O,,자동+수동,,23(13),,,,O,,,O,,,O,O,,O,O,O,사각조리실,좌우도어,투명,크리스탈 핑크,판넬터치,LED,스킨 베이지,8.5,322 x 228 x 335,476 x 272 x 369,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",X,O,O,,,,,,,,,,"자동데우기(3),자동요리(5),위생케어(3),냉동식품(6), 발효(2), 보온",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-17002,,MSIP-REM-LGE-MW23ED6﻿,만족,220V / 60Hz,"1,570",202203,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,200 / 400 / 600 / 800 / 1000,O,O,,1,1,,,,,,O,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mw22ca,LG 전자레인지22L,MW22CA,판매중,"179,000원",,0원,포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09127828/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09127828/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09127828/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09127828/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md09127828/gallery/small04.jpg']",,,슬림형,1000,"1,570",,O,,자동+수동,,22(13),,,,O,,,O,,,O,O,,O,O,O,사각조리실,좌우도어,클리어,블랙,판넬터치,LED,블랙,8.5,322 x 228 x 300,476 x 272 x 346,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",X,O,O,,,,,,,,,,"자동데우기 (3),자동요리 (5),생활지혜 (3),냉동식품 (6), 발효 (2), 보온",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-18001,,R-REI-LGE-MW22CD7,만족,220V / 60Hz,"1,570",202202,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,200 / 400 / 600 / 800 / 1000,O,O,,1,1,,,,,,O,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mlj39ew,LG 디오스 오브제컬렉션 광파오븐39L,MLJ39EW,판매중,"655,000원","590,000원","520,800원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08980867/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/360view/product/microwave/MLJ39EW.png', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08980867/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08980867/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08980867/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08980867/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08980867/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08980867/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08980867/gallery/small07.jpg']",듀얼광파히터,멀티광파 가열시스템(광파),슬림형,1100,"1,800","2,000",O,X,자동+수동,,39(23),,,900,O,,X,X,,,O,O,X,O,O,O,,상하도어,클리어,미스트 베이지,다이얼,LED,블랙,15.1,395 x 262 x 378,540 x 325 x 523,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",O,O,O,O,O,O,O,O,O,,X,,"레인지(10), 특선구이(15), 제과제빵(10), 건조, 발효(10), 에어프라이(15), 찜요리(10)",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-17001,,R-R-LGE-ML39BW0,만족,220V / 60Hz,"2,200",202107,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,1,1,1,1,1,1,1,O,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/ml39bw,LG 디오스 광파오븐39L,ML39BW,판매중,"454,000원","409,000원","409,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.8,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08534003/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/360view/product/microwave/ML39BW.png', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08534003/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08534003/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08534003/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08534003/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08534003/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08534003/gallery/small06.jpg']",듀얼광파히터,멀티광파 가열시스템(광파),슬림형,"1,100","1,800","2,000",O,X,자동+수동,,39(23),,,900,O,,X,X,,,O,O,X,O,O,O,,상하도어,스모그,블랙,다이얼,LED,블랙,16.4,395 x 262 x 378,540 x 325 x 523,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",O,O,O,O,O,O,O,O,O,X,X,,"인버터 요리(10), 특선구이(10), 제과제빵(10), 웰빙요리(15), 에어프라이(15)",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-17001,,R-R-LGE-ML39BW0,만족,220V / 60Hz,"2,200",202009,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,1,1,1,1,1,1,,O,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mw25b,LG 전자레인지25L,MW25B,판매중,"219,000원","201,000원","201,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039645/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039645/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039645/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039645/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039645/gallery/small04.jpg']",,,슬림형,1000,"1,570",,O,,자동+수동,,25(13),,,,O,,,O,,,O,O,,O,O,O,사각조리실,좌우도어,불투명,블랙,글라스터치 + 팝업다이얼,LED,블랙,8.8,322 x 228 x 335,476 x 272 x 370,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",X,O,O,,,,,,,,,,"자동데우기 (3),자동요리 (5),생활지혜 (3),냉동식품 (6), 발효 (2), 보온",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-17002,,MSIP-REM-LGE-MW25L6,만족,220V / 60Hz,"1,570",201610,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,200 / 400 / 600 / 800 / 1000,O,O,,1,1,,,,,,O,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mw23gd,LG 전자레인지23L,MW23GD,판매중,"189,000원","172,000원","172,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039643/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039643/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039643/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039643/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039643/gallery/small04.jpg']",,,슬림형,1000,"1,570",,O,,자동+수동,,23(13),,,,O,,,O,,,O,O,,O,O,O,사각조리실,좌우도어,불투명,블랙,판넬터치,LED,화이트,8.5,322 x 228 x 335,476 x 272 x 369,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",X,O,O,,,,,,,,,,"자동데우기 (3),자동요리 (5),생활지혜 (3),냉동식품 (6), 발효 (2), 보온",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-17002,,MSIP-REM-LGE-MW23ED6﻿,만족,220V / 60Hz,"1,570",201610,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,200 / 400 / 600 / 800 / 1000,O,O,,1,1,,,,,,O,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mw23bd,LG 전자레인지23L,MW23BD,판매중,"199,000원","154,000원","154,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039641/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039641/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039641/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039641/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039641/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039641/gallery/small05.jpg']",,,슬림형,1000,"1,570",,O,,자동+수동,,23(13),,,,O,,,O,,,O,O,,O,O,O,사각조리실,좌우도어,불투명,블랙,판넬터치,LED,블랙,8.8,322 x 228 x 335,476 x 272 x 369,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",X,O,O,,,,,,,,,,"자동데우기 (3),자동요리 (5),생활지혜 (3),냉동식품 (6), 발효 (2), 보온",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-17002,,MSIP-REM-LGE-MW23WD6,만족,220V / 60Hz,"1,570",201610,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,200 / 400 / 600 / 800 / 1000,O,O,,1,1,,,,,,O,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mw25s,LG 전자레인지25L,MW25S,판매중,"239,000원","185,000원","185,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039646/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039646/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039646/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039646/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039646/gallery/small04.jpg']",,,슬림형,1000,"1,570",,O,,자동+수동,,25(13),,,,O,,,O,,,O,O,,O,O,O,사각조리실,좌우도어,미러,블랙,글라스터치,LED,스테인레스,8.9,322 x 228 x 335,476 x 272 x 370,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",X,O,O,,,,,,,,,,"자동데우기 (3),자동요리 (5),생활지혜 (3),냉동식품 (6), 발효 (2), 보온",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-17002,,MSIP-REM-LGE-MW25S6,만족,220V / 60Hz,"1,570",201610,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,200 / 400 / 600 / 800 / 1000,O,O,,1,1,,,,,,O,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mw23wd,LG 전자레인지23L,MW23WD,판매중,"199,000원","161,000원","161,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039644/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039644/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039644/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039644/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08039644/gallery/small04.jpg']",,,슬림형,1000,"1,570",,O,,자동+수동,,23(13),,,,O,,,O,,,O,O,,O,O,O,사각조리실,좌우도어,투명,화이트,판넬터치,LED,화이트,8.5,322 x 228 x 335,476 x 272 x 369,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",X,O,O,,,,,,,,,,"자동데우기 (3),자동요리 (5),생활지혜 (3),냉동식품 (6), 발효 (2), 보온",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-17002,,MSIP-REM-LGE-MW23WD6,만족,220V / 60Hz,"1,570",201610,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,200 / 400 / 600 / 800 / 1000,O,O,,1,1,,,,,,O,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/mw23bp,LG 전자레인지23L,MW23BP,판매중,"199,000원","156,000원","156,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08042470/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08042470/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08042470/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08042470/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08042470/gallery/small04.jpg']",,,슬림형,1000,"1,570",,O,,자동+수동,,23(13),,,,O,,,O,,,O,O,,O,O,O,사각조리실,좌우도어,불투명,블랙,판넬터치,LED,블랙,8.8,322 x 228 x 335,476 x 272 x 369,"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",X,O,O,,,,,,,,,,"젠틀워밍 (6),냉동식품 (7),디저트&자동조리 (6),저수분조리 (5), 발효 (2), 건강차 (4), 생활지혜 (3)",,,,,,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-17002,,MSIP-REM-LGE-MW23WD6,만족,220V / 60Hz,"1,570",201801,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,5,200 / 400 / 600 / 800 / 1000,O,O,,1,1,,,,,,O,,
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/ml32ew1,LG 디오스 오브제컬렉션 광파오븐32L,ML32EW1,일시품절,"1,055,000원","950,000원","855,600원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08750669/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08750669/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08750669/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08750669/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08750669/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08750669/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08750669/gallery/small06.jpg']",트리플광파히터,트리플광파쿡+스팀,정통형(스팀분사형),1000,"1,850","2,200",O,O,자동+수동,,32(32),,,"1,850",O,,O,O,,,O,O,O,O,O,,,상하도어,클리어,미스트 베이지,다이얼,LCD,블랙,22.4,440 x 235 x 310,527 x 389 x 472  (손잡이 제외) 527 x 389 x 518   (손잡이 포함),"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",O,O,O,O,O,O,O,O,O,O,O,,"레인지(9), 구이(20), 오븐(20), 스팀(40), 식품건조(6), 토스트(5), 슬로우 쿡(6), 발효(3), 에어프라이(20)",,1,1,1,1,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-18002,,REM-LGE-ML32BW6,만족,220V / 60Hz,"2,800",2020-10,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,,,,,,X,1,O
광파오븐전자레인지,https://www.lge.co.kr/microwaves-and-ovens/ml32ww1,LG 디오스 광파오븐32L,ML32WW1,비판매상품,,,,,,,4.9,"['https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08044721/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08044721/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08044721/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08044721/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08044721/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08044721/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08044721/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/microwaves-and-ovens/md08044721/gallery/small07.jpg']",트리플광파히터,트리플광파쿡+스팀,정통형(스팀분사형),1000,"1,850","2,200",O,O,자동+수동,,32(32),,,"1,850",O,,O,O,,,O,O,O,O,O,X,,상하도어,클리어,화이트,다이얼,LCD,블랙,22.4,440 x 235 x 310,527 x 389 x 472  (손잡이 제외) 527 x 389 x 518   (손잡이 포함),"제품의 윗면은 20cm 이상 띄움, 측면/뒷면은 벽과 10cm 이상 띄움, 바닥에서 85cm 이상되는 위치에 설치",O,O,O,O,O,O,O,O,O,O,O,,"레인지(9), 구이(20), 오븐(20), 스팀(40), 식품건조(6), 토스트(5), 슬로우 쿡(6), 발효(3), 에어프라이(20)",,1,1,1,1,1,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU07187-18002,,REM-LGE-ML32BW6,만족,220V / 60Hz,"2,800",2019-10,LG전자㈜,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,,,,,,X,1,O
