제품군,항목명,설명
에어컨,제품유형,"다양한 에어컨 유형 중 주거 환경에 따라 우리집에 어울리는 타입을 선택하시는 것을 추천 드립니다.

[2in1 vs 스탠드]
2in1이 경제적인 이유!
침실엔 에어컨이 없어도 될 것 같아 2in1과 스탠드 사이에서 고민하는 경우가 많습니다. 하지만 대부분 처음부터 2in1을 선택합니다. 따로 사면 실내기 2대와 실외기 2대의 가격이지만, 2in1은 실내기 2대에 실외기는 1대만 구매하면 되기 때문에 훨씬 경제적이고 설치도 편리합니다."
에어컨,냉방면적(스탠드+벽걸이)(m²),"에어컨을 구매하기 전 우리 집 면적을 먼저 확인해 주세요. 이때 기준은 집 전체 면적이 아니라 '에어컨을 설치할 공간'입니다. 침실이나 거실 등 에어컨을 설치할 공간을 고려해 적합한 면적의 에어컨을 구매하는 것이 냉방효율을 높일 수 있습니다.

TIP1.
점점 길어지고 폭염이 많아진 여름, 베란다 확장으로 거실이 넓어진 주거 트렌드를 고려했을 때 냉방면적이 조금 더 큰 에어컨을 추천합니다.

TIP2.
거실에 설치할 경우, 아파트는 공급면적의 1/2 이상. 주택/빌라는 전용면적의 2/3 이상.
방이나 원룸에 설치할 경우에는 해당 공간의 면적과 동일하게 선택하시는 것을 추천합니다."
에어컨,자동 청정 관리,바람이 지나가는 길을 알아서 청소하여 에어컨 안을 깨끗하게 유지해 줍니다
에어컨,셀프 청정 관리,원할 때는 내부를 열어 모든 팬을 직접 청소할 수 있는 셀프 청정관리가 가능합니다.
에어컨,PM 1.0 센서,아주 작은 극초미세먼지까지 실시간으로 정밀하게 잡아낼 수 있는 PM 1.0 센서가 탑재되어 오염된 공기가 감지되면 공기청정 기능을 작동해 실내 공기를 깨끗하게 만들어 줍니다.
에어컨,집진 이오나이저,에어컨에서 먼지를 모으는 장치입니다. 제품 뒷면 필터의 가운데 부분에 위치하고 있습니다. 플러스 필터 주변에 이온을 생성하여 먼지를 모으고 모인 먼지가 필터에 달라붙어 집진하여 실내 공기를 깨끗하게 유지하는 데 도움을 줍니다. 
에어컨,CAC 인증,한국공기청정협회에서 소비자에게 신뢰성 있는 공기청정 에어컨디셔너 제품을 제공하기 위하여 제품의 공기청정 성능에 대해서 본 협회가 제정한 공기청정 에어컨디셔너 표준(KACA-CAC-2011)의 인증심사기준에 따라 엄격히 심사를 한 후 적합으로 판정을 받은 제품에게만 부여하는 단체품질 인증마크 입니다.
에어컨,필터클린봇,"냉방 성능 유지를 위해 극세필터에 쌓인 먼지를 일주일에 한 번씩 알아서 청소해 주는 기능입니다 (하루 8시간 사용 기준). 먼지 필터를 위아래로 움직여 청소하며 휘센 타워 기준 약 6분 30초 소요됩니다. 기기 기본 기능으로 설정되어 있고 해제는 리모컨으로 가능합니다.

*먼지통의 먼지는 6개월마다 비우기를 권장합니다.
"
에어컨,바람세기,원하는 바람 세기를 간편하게 조절할 수 있습니다. 바람세기 버튼을 누를 때마다 약풍-중풍-강풍-자연풍 순으로 반복됩니다.
에어컨,한쪽바람,"에어컨의 왼쪽, 오른쪽 중 한쪽으로만 바람을 보내는 냉방 기능입니다. 
에어컨 바로 옆에 앉아있더라도 왼쪽, 오른쪽 내 마음대로 한쪽으로만 바람을 보낼 수 있어 
직접 닿는 바람 없이 시원함과 쾌적함을 오래 유지할 수 있습니다."
에어컨,인공지능 듀얼 인버터,실내 온도를 감지하여 빠르게 실내 온도를 낮춰줍니다. 설정한 온도가 되면 에너지를 절약하는 운전으로 전환해 쾌적한 상태를 유지해 줍니다.
에어컨,강력제습,실내를 빠르고 강력하게 제습해 주는 기능입니다.
에어컨,펫케어,반려동물이 혼자 집에 있을 때 ThinQ 앱의 펫케어 기능으로 실내 온도를 모니터링하고 온도가 올라가면 에어컨을 켜주거나 알림을 받아볼 수 있습니다.
에어컨,스마트 가이드,"에어컨 관리에 필요한 행동을 에어컨이 알아서 알려주는 기능입니다. 실내외 공기 상태, 필터 교체 안내 등 에어컨이 스스로 환경을 감지하여 필요한 관리 정보를 음성으로 안내해 줍니다."
에어컨,인공지능 음성제어,"음성으로 에어컨을 설정하고 제어하는 기능입니다. 냉방 시작, 온도 변경, 바람 세기 조절 등을 지시할 수 있습니다. 이 기능을 이용하시려면 LG ThinQ 앱을 통해 와이파이 연결 및 제품 등록이 필요합니다. (각 제품별 지원하는 기능이 다를 수 있음)"
에어컨,스마트 진단,제품의 고장 원인을 진단할 수 있는 기능입니다. 제품에 스마트 진단 로고가 있는 모델에만 적용되며 진단을 진행하는 동안 진단음이 발생하므로 상담원 연결 시에만 사용하시고 평상시에는 작동하지 마시기 바랍니다.
에어컨,UP 가전,"쓰고 있는 제품을 업데이트할 수 있는 기능입니다. 라이프스타일과 취향에 맞춰 업그레이드된 기능으로 매일 새롭고 더 좋은 경험을 하실 수 있습니다. 게다가 제품 사용 중에 불편이나 문제가 있을 때 새로운 기능을 알려주거나 문제를 해결해 주기도 합니다.
"
에어컨,디스플레이,제품 조작 및 작동상태를 확인 할 수 있는 화면입니다. 
에어컨,냉방면적(m²),"에어컨을 구매하기 전 우리 집 면적을 먼저 확인해 주세요. 이때 기준은 집 전체 면적이 아니라 '에어컨을 설치할 공간'입니다. 침실이나 거실 등 에어컨을 설치할 공간을 고려해 적합한 면적의 에어컨을 구매하는 것이 냉방효율을 높일 수 있습니다.

TIP1.
점점 길어지고 폭염이 많아진 여름, 베란다 확장으로 거실이 넓어진 주거 트렌드를 고려했을 때 냉방면적이 조금 더 큰 에어컨을 추천합니다.

TIP2.
거실에 설치할 경우, 아파트는 공급면적의 1/2 이상. 주택/빌라는 전용면적의 2/3 이상.
방이나 원룸에 설치할 경우에는 해당 공간의 면적과 동일하게 선택하시는 것을 추천합니다."
에어컨,열교환기 세척,에어컨 밖으로 내보내는 바람을 만드는 열교환기의 먼지와 세균을 제거합니다.
에어컨,간접바람,에어컨 냉기가 사람에 직접 닿지 않으면서 공간을 쾌적하게 냉방해 주는 기능입니다.
에어컨,절전 냉방,절전 냉방 운전 시 희망온도가 자동으로 조절되어 전기료를 절약할 수 있습니다.
에어컨,장마철강력제습,습도가 높아지는 장마철에는 강력하게 제습하여 눅눅함은 잡아주고 쾌적한 공간을 만들어 줍니다.
에어컨,송풍,극세 필터가 먼지를 깨끗하게 걸러줍니다. 실내와 온도차이가 없는 바람만 내보내며 실내공기를 순환시키는 기능입니다.
에어컨,정전보상기능,제품이 작동 중에 정전이나 다른 원인들로 인해 제품으로 공급되는 전원이 끊어져 작동을 멈추었다가 전원이 다시 공급되면 작동을 멈추기 전의 설정으로 다시 작동합니다.
에어컨,열대야 절전취침,인체의 수면 단계에 따라 자동으로 세밀하게 온도를 조절하여 열대야에도 알맞은 온도로 숙면을 취할 수 있습니다.
에어컨,음소거(실내기부저 On/Off),에어컨의 기능을 설정하거나 변경할 때 상태를 알려주는 알림음을 끄거나 켤 수 있습니다.
에어컨,강제운전 스위치,제품 아래에 있는 상하 풍향 조절기를 열고 강제 운전 버튼을 누르면 리모컨 없이 에어컨을 켜고 끌 수 있습니다.
에어컨,듀얼 맞춤 제습(강력/절전),"강력 제습 기능은 하루에 100l까지 습기를 제거할 수 있으며, 절전 제습 기능은 일반 제습기(용량 15l 기준)와 비슷한 수준의 전기를 사용하면서도 더 많은 습기를 제거합니다."
에어컨,바람방향(좌/우 자동),무선 리모컨의 상하 또는 좌우 버튼으로 바람 방향이 자동으로 움직이거나 멈출 수 있습니다. 버튼을 1회 누르면 날개가 움직이고 1회 누르면 날개가 정지합니다.
에어컨,극세 필터,"극세필터가 생활먼지, 애완동물 털 등을 걸러주어 위생적인 환경을 조성합니다."
에어컨,AI 건조,냉방 또는 제습 운전을 하다가 제품의 전원을 끌 경우 AI 건조를 시작합니다. 일정 시간 동안 제품을 송풍 상태로 운전하여 열교환기에 남은 수분을 제거합니다.
에어컨,아이스 쿨파워,LG WHISEN만의 강력한 냉방 성능을 의미합니다. 일반 냉방보다 4°C 더 낮은 바람으로 설정 온도까지 더 빠르게 냉방해 줍니다.
에어컨,인공지능 스마트케어,"집안 환경 및 사용 패턴을 파악해 알아서 냉방, 청정. 제습을 해주는 기능입니다. 에어컨에 있는 스마트케어 버튼을 누르거나 리모컨으로 실행할 수 있습니다. 인체 감지 센서 탑재 모델은 실내에 사람이 있는지 없는지에 따라 냉방을 조절해 줘 절전 효과를 누릴 수 있습니다.
"
에어컨,극세필터+,"먼지를 걸러내는 극세필터에 항균처리를 해서 먼지에 있는 세균의 번식을 억제하여 위생적인 환경을 조성합니다.
"
에어컨,클린 케이스,"수분이 많은 열교환기 뒷면에 항균 처리된 클린 케이스를 적용하여 세균의 번식을 억제하여 위생적인 사용 환경을 조성합니다.

"
에어컨,쾌적절전,듀얼인버터 기술로 시원함은 유지하면서 아이스쿨파워 대비 최대 72%까지 절전하실 수 있습니다. TUV 라인란드의 공식 검증을 획득한 절전율이라 더욱 신뢰할 수 있습니다. 
에어컨,파워온풍,일반 온풍보다 빠르게 실내를 따뜻하게 할 수 있습니다. 파워 온풍 운전이 시작되면 바람의 세기는 파워풍으로 바뀌고 희망하는 온도가 자동으로 설정됩니다.
에어컨,인공지능 365 공기청정,제품 운전 중 종합 청정도가 3단계(나쁨) 이상일 경우 공기 청정 기능을 따로 설정하지 않았더라도 자동으로 공기 청정 운전을 시작합니다. 종합 청정도가 1단계(좋음)가 되면 1단계(좋음)까지 걸린 시간만큼 365 공기청정으로 한번 더 운전한 후 해당 기능을 종료합니다.
에어컨,UV LED 팬살균,LG 휘센의 내부 팬 살균 기술로 자외선(UV)을 이용하여 바람이 나오는 팬을 99.99% 살균해 줍니다. 99.99%는 TUV 라인란드에서 살균 효과 검증이 완료된 믿을 수 있는 수치입니다. 
에어컨,스탠드에어컨 냉방면적(m²),"에어컨을 구매하기 전 우리 집 면적을 먼저 확인해 주세요. 이때 기준은 집 전체 면적이 아니라 '에어컨을 설치할 공간'입니다. 침실이나 거실 등 에어컨을 설치할 공간을 고려해 적합한 면적의 에어컨을 구매하는 것이 냉방효율을 높일 수 있습니다.

TIP1.
점점 길어지고 폭염이 많아진 여름, 베란다 확장으로 거실이 넓어진 주거 트렌드를 고려했을 때 냉방면적이 조금 더 큰 에어컨을 추천합니다.

TIP2.
거실에 설치할 경우, 아파트는 공급면적의 1/2 이상. 주택/빌라는 전용면적의 2/3 이상.
방이나 원룸에 설치할 경우에는 해당 공간의 면적과 동일하게 선택하시는 것을 추천합니다."
에어컨,포커스냉방,FAN을 형상화한 디자인이 압축된 바람을 사각지대 없이 유려한 흐름으로 내보냅니다.
에어컨,"냉방면적 (스탠드+벽걸이, ㎡)","에어컨을 구매하기 전 우리 집 면적을 먼저 확인해 주세요. 이때 기준은 집 전체 면적이 아니라 '에어컨을 설치할 공간'입니다. 침실이나 거실 등 에어컨을 설치할 공간을 고려해 적합한 면적의 에어컨을 구매하는 것이 냉방효율을 높일 수 있습니다.

TIP1.
점점 길어지고 폭염이 많아진 여름, 베란다 확장으로 거실이 넓어진 주거 트렌드를 고려했을 때 냉방면적이 조금 더 큰 에어컨을 추천합니다.

TIP2.
거실에 설치할 경우, 아파트는 공급면적의 1/2 이상. 주택/빌라는 전용면적의 2/3 이상.
방이나 원룸에 설치할 경우에는 해당 공간의 면적과 동일하게 선택하시는 것을 추천합니다."
에어컨,초미세집진 블랙필터,"10년 동안 교체 필요 없이 물로 세척하면 재생되는 필터로 미세먼지는 기본, 아주 작은 극초미세먼지까지 빈틈없이 청정합니다."
에어컨,극세필터,"극세필터가 생활먼지, 애완동물 털 등을 걸러주어 위생적인 환경을 조성합니다."
에어컨,자동건조,냉방 또는 제습 운전을 하다가 제품의 전원을 끌 경우 AI 건조를 시작합니다. 일정 시간 동안 제품을 송풍 상태로 운전하여 열교환기에 남은 수분을 제거합니다.
에어컨,시그니처 필터 클린봇,"극세 필터에 쌓인 먼지를 1주일 주기로 알아서 청소해 깨끗하게 관리해 줍니다. ※ 하루 8시간 사용 기준으로 총 56시간 동안 사용 시 작동합니다.(*에어컨을 작동하지 않을 때 리모컨으로도 작동할 수 있습니다.) ※ 청소 성능: 자사 테스트 결과, Lint 먼지(면 보푸라기)를 필터에 부착한 후 먼지 제거 정도를 확인하였을 때 클린봇이 필터를 청소하더라도 6개월 주기로 먼지 통은 비워야 합니다. *수동으로 필터를 청소하실 수도 있습니다. ※ 필터의 청소 정도는 사용 환경, 패턴에 따라 다를 수 있습니다."
에어컨,아이스 롱파워,시원한 바람을 더 멀리 보내주는 LG WHISEN의 냉방 성능을 의미합니다. 아이스롱파워 기능을 사용하면 거실에서 멀리 떨어진 주방까지도 시원하게 냉방하실 수 있습니다. 
에어컨,시그니처 서클,"상하좌우로 자유롭게 움직이는 시그니처 서클이 넓은 공간도 빈틈없이 냉방 해주고 바람이 직접 닿는 직접풍과, 바람이 직접 닿지 않는 간접풍으로 맞춤 바람을 보내줍니다."
에어컨,상하좌우 바람제어,바람을 위 아래 왼쪽 오른쪽으로 자동으로 내보내 냉기를 실내에 균형적으로 보낼 수 있는 기능입니다.
에어컨,4X 파워 냉방,4개의 초강력 팬으로 만들어지는 강한 바람은 앞쪽과 양쪽으로 풍부하게 퍼져 집 전체를 빠르고 상쾌한 공기로 가득 채웁니다.
에어컨,4단계 위생가습 시스템,"가습 물통을 살균, 스팀, 건조, 자동배수까지 4단계로 꼼꼼하게 관리합니다.
UV-LED 물통 살균을 통해 청결한 가습수를 유지하고, 
물이 지나가는 모든 통로를 스팀으로 살균, 자동 건조하여 세균 생성과 냄새를 방지합니다. 
가습 후 남은 물은 자동으로 배수되어 미생물 발생 또한 차단합니다."
에어컨,ThinQ 앱,LG ThinQ 앱을 설치하면 언제 어디서나 편리하게 우리 집 LG 가전을 관리할 수 있습니다.
에어컨,예약기능,"켜짐예약은 설정해 둔 예약시간 후에 에어컨이 자동으로 켜지며, 꺼짐예약은 설정해 둔 예약시간 후에 에어컨이 자동으로 꺼집니다. 예약해제는 설정된 모든 예약을 해제할 때 사용할 수 있습니다."
에어컨,필터교체알림,제품에 있는 필터의 적절한 교체 시기를 알려주는 기능입니다.
에어컨,인체감지,"스마트 인체감지 센서가 인체 모양을 감지하거나 사람의 위치와 움직임을 파악하여 사람의 활동량과 인원수에 따라 바람 세기, 바람 방향, 쾌적 희망 온도를 자동으로 조절해줌으로써 절전 효과를 얻을 수 있습니다."
에어컨,오토 무빙 필터,에어컨 뒷면에 위치해서 분리하기 어려웠던 필터를 터치 한 번이면 자동으로 오픈되어 쉽게 관리할 수 있습니다
에어컨,오토 스마트 버킷,발을 가까이 대면 가습 물통이 스스로 앞으로 나오는 오토 무빙 버킷으로 최고의 편의성을 제공합니다.
에어컨,바람방향(좌/우),무선 리모컨의 상하 또는 좌우 버튼으로 바람 방향이 자동으로 움직이거나 멈출 수 있습니다. 버튼을 1회 누르면 날개가 움직이고 1회 누르면 날개가 정지합니다.
에어컨,파워난방,실내를 빠른 속도로 따뜻하게 해줍니다. 난방 운전 시에는 강력한 더운 바람이 30분간 나옵니다.
에어컨,냉방면적 (㎡),"에어컨을 구매하기 전 우리 집 면적을 먼저 확인해 주세요. 이때 기준은 집 전체 면적이 아니라 '에어컨을 설치할 공간'입니다. 침실이나 거실 등 에어컨을 설치할 공간을 고려해 적합한 면적의 에어컨을 구매하는 것이 냉방효율을 높일 수 있습니다.

TIP1.
점점 길어지고 폭염이 많아진 여름, 베란다 확장으로 거실이 넓어진 주거 트렌드를 고려했을 때 냉방면적이 조금 더 큰 에어컨을 추천합니다.

TIP2.
거실에 설치할 경우, 아파트는 공급면적의 1/2 이상. 주택/빌라는 전용면적의 2/3 이상.
방이나 원룸에 설치할 경우에는 해당 공간의 면적과 동일하게 선택하시는 것을 추천합니다."
에어컨,스마트케어,제품이 주변 환경과 사용자의 특성을 분석하여 가장 효율적으로 작동합니다. 희망하는 온도에 이르게 한 후 바람의 방향과 바람의 세기가 자동으로 조절되어 쾌적하게 생활할 수 있습니다.
에어컨,향균 처리된 극세 필터,"항균 극세 필터가 생활먼지, 애완동물 털 등 입자가 큰 먼지를 걸러줍니다."
에어컨,플러스 필터,"황사, 초미세먼지를 강력하게 제거해 주는 필터입니다. 플러스 필터가 있으면 에어컨을 공기청정기로도 사용하실 수 있고 필터 교체 주기는 약 6개월입니다.  "
에어컨,바람세기 4단계,사용자는 바람의 세기를 직접 설정할 수 있습니다. 바람의 세기는 1->2->3->4->5->자연바람 단계까지 설정할 수 있습니다.
에어컨,소비전력,전기·전자기기가 운용되기 위해 필요한 단위 시간당 전기 에너지의 양을 말합니다. 단위는 W(와트) 또는 kW(킬로와트) 사용합니다.
