제품군,URL,제품명,모델명,상태,정가,판매가,최대혜택가,구매혜택안내,6년구독가격,최대혜택구독가격,평점,이미지리스트,"실내기/실외기(상, 선식, V, Hz)",면적 Type,방 개수(실내기 대수),거실 실내기(MNV0601C2U) 냉방(정격)(kW),안방 실내기(MNV0231C2U) 냉방(정격)(kW),방 실내기(MNV0201C2U) 냉방(정격)(kW),실외기 냉방(정격)(kW),조합률,거실 실내기(MNV0601C2U) 냉방(정격)(A),안방 실내기(MNV0231C2U) 냉방(정격)(A),방 실내기(MNV0201C2U) 냉방(정격)(A),실외기 냉방(정격)(A),거실 실내기(MNV0601C2U) 풍량(m³/min),안방 실내기(MNV0231C2U) 풍량(m³/min),방 실내기(MNV0201C2U) 풍량(m³/min),실외기 풍량(m³/min),"거실 실내기 치수(WxHxD, mm)","거실 판넬 치수(WxHxD, mm)","안방/방 실내기 치수(WxHxD, mm)","안방/방 판넬 치수(WxHxD, mm)","실외기 치수(WxHxD, mm)",거실 실내기 중량(kg),거실 판넬 중량(kg),안방/방 실내기 중량(kg),안방/방 판넬 중량(kg),실외기 중량(kg),거실/안방/방 실내기 액관(mm),거실 실내기 가스관(mm),안방/방 실내기 가스관(mm),실외기 액관(mm),실외기 가스관(mm),종류,외경(mm),형식,UV-LED 팬살균,열교환기 세척,AI건조,AI바람,AI쾌적수면바람,소프트바람,공간맞춤바람,에너지 소비효율 등급,외출절전,AI스마트케어,AI에너지맞춤,ThinQ,음성인식,부재감지 모니터링,품명 및 모델명 (대표모델),KC 인증 필 유무 (대표모델),KC인증조회,동일 모델의 출시년월,제조자,제조국,A/S 책임자와 전화번호,품질보증기준,거실 실내기(MNV0721C2U) 냉방(정격)(kW),거실 실내기(MNV0721C2U) 냉방(정격)(A),거실 실내기(MNV0721C2U) 풍량(m³/min),안방 실내기(MNV0321C2U) 냉방(정격)(kW),안방 실내기(MNV0321C2U) 냉방(정격)(A),안방 실내기(MNV0321C2U) 풍량(m³/min),냉방/난방면적(m²),냉방능력(최소/정격/최대)(kW),냉방소비전력(최소/정격/최대)(kW),난방능력(최소/정격/최대)(kW),난방소비전력(최소/정격/최대)(kW),에너지소비효율등급(냉방/난방),실외기,타입,실내기 사이즈(mm),실외기 사이즈(mm),롱파워 강력 냉난방,상하/좌우 자동 풍향조절,풍량조절/송풍운전,제습 운전,쾌적절전,실내 공기질 디스플레이,자동건조,ThinQ(Wi-Fi),리모컨,스마트진단,품명 및 모델명,KC 인증 필 유무,판넬 사이즈(mm),공기청정,UVnano,향균 드레인 / 단열재,AI 자동건조,승강그릴,R1 Compression,아이스쿨파워,쾌적절전기능,인체감지,공간맞춤 6대 기류,레이더 먼지센서,360 원형바람
시스템 에어컨,https://www.lge.co.kr/system-air-conditioners/mkv103aur,LG 휘센 AI 시스템에어컨 프리미엄59㎡3실,MKV103AUR,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/system-air-conditioners/md10604852/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small04.jpg']","1, 2, 220, 60",59m²,3실,0.40,0.09,0.08,2.54,114%,0.18,0.04,0.04,9.4,13.5 / 11.0 / 10.1,6.5 / 5.7 / 5.0,6.0 / 5.5 / 5.0,50,"1,180 x 132 x 450","1,480 x 32 x 500",860 x 132 x 450,"1,200 x 32 x 500",870 x 650 x 330,14.7,6.2,11.5,5.2,38.5,Ø6.35,Ø12.7,Ø9.52,Ø6.35 x 4,"Ø9.52 x 3, Ø12.7 x 1",R410A,Ø32,Long Life 필터,O,O,O,O,O,O,O,1등급,O,O,O,O,O,O,냉방기(MNV0601C2U),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-RNW-0066R-C-LGE-LCWB-006,공정거래위원회(소비자24)제공 인증정보 조회,2025년 5월,LG전자㈜,한국,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시스템 에어컨,https://www.lge.co.kr/system-air-conditioners/mkv104aur,LG 휘센 AI 시스템에어컨 프리미엄59㎡4실,MKV104AUR,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/system-air-conditioners/md10618841/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small04.jpg']","1, 2, 220, 60",59m²,4실,0.40,0.09,0.08,3.0,112%,0.18,0.04,0.04,13,13.5 / 11.0 / 10.1,6.5 / 5.7 / 5.0,6.0 / 5.5 / 5.0,70,"1,180 x 132 x 450","1,480 x 32 x 500",860 x 132 x 450,"1,200 x 32 x 500",950 x 834 x 330,14.7,6.2,11.5,5.2,57,Ø6.35,Ø12.7,Ø9.52,Ø6.35 x 5,"Ø9.52 x 4, Ø12.7 x 1",R410A,Ø32,Long Life 필터,O,O,O,O,O,O,O,1등급,O,O,O,O,O,O,냉방기(MNV0601C2U),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-RNW-0066R-C-LGE-LCWB-006,공정거래위원회(소비자24)제공 인증정보 조회,2025년 5월,LG전자㈜,한국,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시스템 에어컨,https://www.lge.co.kr/system-air-conditioners/mkv203aur,LG 휘센 AI 시스템에어컨 프리미엄75~84㎡3실,MKV203AUR,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/system-air-conditioners/md10604852/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small04.jpg']","1, 2, 220, 60",75~84m²,3실,,0.09,0.08,3.0,105%,,0.04,0.04,13,,6.5 / 5.7 / 5.0,6.0 / 5.5 / 5.0,70,"1,180 x 132 x 450","1,480 x 32 x 500",860 x 132 x 450,"1,200 x 32 x 500",950 x 834 x 330,14.7,6.2,11.5,5.2,57,Ø6.35,Ø15.88,Ø9.52,Ø6.35 x 5,"Ø9.52 x 4, Ø12.7 x 1",R410A,Ø32,Long Life 필터,O,O,O,O,O,O,O,1등급,O,O,O,O,O,O,냉방기(MNV0721C2U),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-RNW-0066R-C-LGE-LCWB-006,공정거래위원회(소비자24)제공 인증정보 조회,2025년 5월,LG전자㈜,한국,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,0.50,0.23,14.0 / 12.5 / 11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시스템 에어컨,https://www.lge.co.kr/system-air-conditioners/mkv204aur,LG 휘센 AI 시스템에어컨 프리미엄75~84㎡4실,MKV204AUR,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/system-air-conditioners/md10618841/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small04.jpg']","1, 2, 220, 60",75~84m²,4실,,0.09,0.08,3.0,122%,,0.04,0.04,13,,6.5 / 5.7 / 5.0,6.0 / 5.5 / 5.0,70,"1,180 x 132 x 450","1,480 x 32 x 500",860 x 132 x 450,"1,200 x 32 x 500",950 x 834 x 330,14.7,6.2,11.5,5.2,57,Ø6.35,Ø15.88,Ø9.52,Ø6.35 x 5,"Ø9.52 x 4, Ø12.7 x 1",R410A,Ø32,Long Life 필터,O,O,O,O,O,O,O,1등급,O,O,O,O,O,O,냉방기(MNV0721C2U),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-RNW-0066R-C-LGE-LCWB-006,공정거래위원회(소비자24)제공 인증정보 조회,2025년 5월,LG전자㈜,한국,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,0.50,0.23,14.0 / 12.5 / 11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시스템 에어컨,https://www.lge.co.kr/system-air-conditioners/mkv305aur,LG 휘센 AI 시스템에어컨 프리미엄112~131㎡5실,MKV305AUR,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/system-air-conditioners/md10619856/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small04.jpg']","1, 2, 220, 60",112~131m²,5실,,,0.08,4.72,113%,,,0.04,13,,,6.0 / 5.5 / 5.0,70,"1,180 x 132 x 450","1,480 x 32 x 500",860 x 132 x 450,"1,200 x 32 x 500",950 x 834 x 330,14.7,6.2,11.5,5.2,57,Ø6.35,Ø15.88,Ø9.52,Ø6.35 x 5,"Ø9.52 x 4, Ø12.7 x 1",R410A,Ø32,Long Life 필터,O,O,O,O,O,O,O,1등급,O,O,O,O,O,O,냉방기(MNV0721C2U),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-RNW-0066R-C-LGE-LCWB-006,공정거래위원회(소비자24)제공 인증정보 조회,2025년 5월,LG전자㈜,한국,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,0.50,0.23,14.0 / 12.5 / 11.0,0.10,0.05,7.5 / 6.5 / 5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시스템 에어컨,https://www.lge.co.kr/system-air-conditioners/mkv103aur1,LG 휘센 AI 시스템에어컨 프리미엄59㎡3실,MKV103AUR1,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/system-air-conditioners/md10604852/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small04.jpg']","1, 2, 220, 60",59m²,3실,0.40,0.09,0.08,3.0,94%,0.18,0.04,0.04,13,13.5 / 11.0 / 10.1,6.5 / 5.7 / 5.0,6.0 / 5.5 / 5.0,70,"1,180 x 132 x 450","1,480 x 32 x 500",860 x 132 x 450,"1,200 x 32 x 500",950 x 834 x 330,14.7,6.2,11.5,5.2,57,Ø6.35,Ø12.7,Ø9.52,Ø6.35 x 5,"Ø9.52 x 4, Ø12.7 x 1",R410A,Ø32,Long Life 필터,O,O,O,O,O,O,O,1등급,O,O,O,O,O,O,냉방기(MNV0601C2U),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-RNW-0066R-C-LGE-LCWB-006,공정거래위원회(소비자24)제공 인증정보 조회,2025년 5월,LG전자㈜,한국,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시스템 에어컨,https://www.lge.co.kr/system-air-conditioners/mkv104aur1,LG 휘센 AI 시스템에어컨 프리미엄59㎡4실,MKV104AUR1,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/system-air-conditioners/md10618841/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small04.jpg']","1, 2, 220, 60",59m²,4실,0.40,0.09,0.08,4.72,85%,0.18,0.04,0.04,13,13.5 / 11.0 / 10.1,6.5 / 5.7 / 5.0,6.0 / 5.5 / 5.0,70,"1,180 x 132 x 450","1,480 x 32 x 500",860 x 132 x 450,"1,200 x 32 x 500",950 x 834 x 330,14.7,6.2,11.5,5.2,57,Ø6.35,Ø12.7,Ø9.52,Ø6.35 x 5,"Ø9.52 x 4, Ø12.7 x 1",R410A,Ø32,Long Life 필터,O,O,O,O,O,O,O,1등급,O,O,O,O,O,O,냉방기(MNV0601C2U),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-RNW-0066R-C-LGE-LCWB-006,공정거래위원회(소비자24)제공 인증정보 조회,2025년 5월,LG전자㈜,한국,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시스템 에어컨,https://www.lge.co.kr/system-air-conditioners/mkv203aur1,LG 휘센 AI 시스템에어컨 프리미엄75~84㎡3실,MKV203AUR1,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/system-air-conditioners/md10604852/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small04.jpg']","1, 2, 220, 60",75~84m²,3실,,0.09,0.08,4.72,79%,,0.04,0.04,13,,6.5 / 5.7 / 5.0,6.0 / 5.5 / 5.0,70,"1,180 x 132 x 450","1,480 x 32 x 500",860 x 132 x 450,"1,200 x 32 x 500",950 x 834 x 330,14.7,6.2,11.5,5.2,57,Ø6.35,Ø15.88,Ø9.52,Ø6.35 x 5,"Ø9.52 x 4, Ø12.7 x 1",R410A,Ø32,Long Life 필터,O,O,O,O,O,O,O,1등급,O,O,O,O,O,O,냉방기(MNV0721C2U),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-RNW-0066R-C-LGE-LCWB-006,공정거래위원회(소비자24)제공 인증정보 조회,2025년 5월,LG전자㈜,한국,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,0.50,0.23,14.0 / 12.5 / 11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시스템 에어컨,https://www.lge.co.kr/system-air-conditioners/mkv204aur1,LG 휘센 AI 시스템에어컨 프리미엄75~84㎡4실,MKV204AUR1,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/system-air-conditioners/md10618841/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small04.jpg']","1, 2, 220, 60",75~84m²,4실,,0.09,0.08,4.72,93%,,0.04,0.04,13,,6.5 / 5.7 / 5.0,6.0 / 5.5 / 5.0,70,"1,180 x 132 x 450","1,480 x 32 x 500",860 x 132 x 450,"1,200 x 32 x 500",950 x 834 x 330,14.7,6.2,11.5,5.2,57,Ø6.35,Ø15.88,Ø9.52,Ø6.35 x 5,"Ø9.52 x 4, Ø12.7 x 1",R410A,Ø32,Long Life 필터,O,O,O,O,O,O,O,1등급,O,O,O,O,O,O,냉방기(MNV0721C2U),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-RNW-0066R-C-LGE-LCWB-006,공정거래위원회(소비자24)제공 인증정보 조회,2025년 5월,LG전자㈜,한국,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,0.50,0.23,14.0 / 12.5 / 11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시스템 에어컨,https://www.lge.co.kr/system-air-conditioners/mkv304aur1,LG 휘센 AI 시스템에어컨 프리미엄112~131㎡4실,MKV304AUR1,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/system-air-conditioners/md10618841/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10599838/gallery/small04.jpg']","1, 2, 220, 60",112~131m²,4실,,,0.08,4.72,99%,,,0.04,13,,,6.0 / 5.5 / 5.0,70,"1,180 x 132 x 450","1,480 x 32 x 500",860 x 132 x 450,"1,200 x 32 x 500",950 x 834 x 330,14.7,6.2,11.5,5.2,57,Ø6.35,Ø15.88,Ø9.52,Ø6.35 x 5,"Ø9.52 x 4, Ø12.7 x 1",R410A,Ø32,Long Life 필터,O,O,O,O,O,O,O,1등급,O,O,O,O,O,O,냉방기(MNV0721C2U),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-RNW-0066R-C-LGE-LCWB-006,공정거래위원회(소비자24)제공 인증정보 조회,2025년 5월,LG전자㈜,한국,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,0.50,0.23,14.0 / 12.5 / 11.0,0.10,0.05,7.5 / 6.5 / 5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시스템 에어컨,https://www.lge.co.kr/system-air-conditioners/pw1450t9sl,LG 상업용 스탠드 (프리미엄 PLUS)131.8㎡5등급,PW1450T9SL,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/system-air-conditioners/md10641826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10641826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10641826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10641826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10641826/gallery/small04.jpg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,공정거래위원회(소비자24)제공 인증정보 조회,2025년 4월,LG전자㈜,한국,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,,,,,,,131.8,4.30 / 14.50 / 16.80,0.73 / 5.20 / 6.30,4.50 / 16.70 / 20.10,0.75 / 4.95 / 7.60,5등급 / 5등급,1Fan,P-Style,"590 x 1,840 x 440","950 x 1,380 x 330",O,O,O,X,X,X,O,옵션,무선,옵션,냉난방기(PW1450T9SL),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-PNW1450T9SL(전자파 적합등록),,,,,,,,,,,,,
시스템 에어컨,https://www.lge.co.kr/system-air-conditioners/pw0720r2sl,LG 상업용 스탠드 (프리미엄 PLUS)58.8㎡3등급,PW0720R2SL,비판매상품,,,,,,,5.0,"['https://www.lge.co.kr/kr/images/system-air-conditioners/md10641826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10641826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10641826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10641826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10641826/gallery/small04.jpg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,공정거래위원회(소비자24)제공 인증정보 조회,2025년 4월,LG전자㈜,한국,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,,,,,,,58.8,3.00 / 7.20 / 9.50,0.60 / 2.20 / 3.23,3.60 / 8.60 / 11.60,0.70 / 2.50 / 3.53,3등급 / 4등급,1Fan,P-Style,"590 x 1,840 x 300",950 x 834 x 330,O,O,O,X,X,X,O,옵션,무선,옵션,냉난방기(PW0720R2SL),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-PNW0830R2SL(전자파 적합등록),,,,,,,,,,,,,
시스템 에어컨,https://www.lge.co.kr/system-air-conditioners/pw0830r2sl,LG 상업용 스탠드 (프리미엄 PLUS)75.5㎡4등급,PW0830R2SL,비판매상품,,,,,,,5.0,"['https://www.lge.co.kr/kr/images/system-air-conditioners/md10641826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10641826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10641826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10641826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10641826/gallery/small04.jpg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,공정거래위원회(소비자24)제공 인증정보 조회,2025년 4월,LG전자㈜,한국,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,,,,,,,75.5,3.00 / 8.30 / 10.50,0.60 / 2.80 / 3.40,3.60 / 9.20 / 12.60,0.70 / 2.80 / 3.90,4등급 / 5등급,1Fan,P-Style,"590 x 1,840 x 300",950 x 834 x 330,O,O,O,X,X,X,O,옵션,무선,옵션,냉난방기(PW0830R2SL),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-PNW0830R2SL(전자파 적합등록),,,,,,,,,,,,,
시스템 에어컨,https://www.lge.co.kr/system-air-conditioners/pw0720r2l,LG 상업용 스탠드 (프리미엄)18㎡3등급,PW0720R2L,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/system-air-conditioners/md10657831/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10657831/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10657831/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10657831/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/system-air-conditioners/md10657831/gallery/small04.jpg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,공정거래위원회(소비자24)제공 인증정보 조회,2025년 4월,LG전자㈜,한국,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,,,,,,,18,3.00 / 7.20 / 9.50,0.60 / 2.20 / 3.23,3.60 / 8.60 / 11.60,0.70 / 2.50 / 3.53,3등급 / 4등급,1Fan,P-Style,"590 x 1,840 x 300",950 x 834 x 330,O,O,O,X,X,X,O,옵션,무선,옵션,냉난방기(PW0720R2L),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-PNW0830R2SL(전자파 적합등록),,,,,,,,,,,,,
