제품군,URL,제품명,모델명,상태,정가,판매가,최대혜택가,구매혜택안내,6년구독가격,최대혜택구독가격,평점,이미지리스트,OS,CPU,CLOCK,스피커,MIC,Wi-Fi,BT BLE,Thread,Zigbee,Matter,LED,Touch,Tact,정격,소비전력,"크기 (WxDxH, mm)",무게 (g),구성품,색상,품명 및 모델명,KC 인증 필 유무,KC인증조회,전원,동일 모델의 출시년월,"제조자, 수입자",제조국,품질보증기준,A/S 책임자와 전화번호,연결 방식,인터페이스,블루투스,배터리,카테고리,ThinQ ON,ThinQ 앱 기능,정격전압 (V/배터리),최대 부하,"크기 (WxHxD, mm)",무게(제품),무게(Gift Box 포함),결선 방식,설치 조건,정격전압 (V/Hz),MCU,Front Unit,Rear Unit,터치 패드,카드키,스마트키,비상 전원,"실외부 크기 (WxHxD, mm)","실내부 크기 (WxHxD, mm)",무게,종류 및 기호,개폐 방식,비밀 번호,지문,카드키 (NFC),작동 습도,작동 온도,재질,임시 비밀번호,정기 비밀번호,수동 잠금,내부 손잡이 잠금,미등록 사용자 제한 경보,카드키 복제 방지,고전압 해킹 방지,고온 감지 경보,침입 경보,"도어센서 크기 (WxDxH, mm)","마그넷 크기 (WxDxH, mm)",정격 전력,허용전류 (최대),허용전력 (최대),과열 차단,과부하 차단,DC Power,Power consumption,정격전압 (V/용량),통신방식,정격 전류,색온도,정격 광속,역률,표현색상,적용 캡,부가 기능,비고,제조자,RAM,Storage,BLE,Thread / ZigBee
AIHome,https://www.lge.co.kr/home-iot-product/hmak4w-akori,LG ThinQ ON AI (전문기사 설치),HMAK4W,판매중,"288,000원","262,000원","262,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원) | 사은품 AI HOME 구매사은품(FLO) AI HOME 포토리뷰 이벤트,,,4.4,"['https://www.lge.co.kr/kr/images/home-iot-product/md10452834/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10452834/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10452834/gallery/small02.jpg']",Linux,Arm Quadcore Cortex A53,1GHz,"Mono, 3W",2x MEMs MIC,"Wi-Fi 4 (802.11 b/g/n, 2.4GHz)",BT BLE 5.2,Thread 1.3,Zigbee 3.0,Matter 1.2,RGB LED,"4x Touch (Volume Up/Down, Smart, Mic On/Off)",1x Tact (Bluetooth Pairing),"5 V, 2 A 이상",10W,95.0 x 95.0 x 37.5,183g,"ThinQ ON 본체, 사용설명서, USB 케이블, AC 어댑터",에센스 화이트,LG ThinQ ON AI / HMAK4W,KC 인증마크 추가R-R-LGE-HMAK4W (전자파 적합등록),공정거래위원회(소비자24)제공 인증정보 조회,DC 5V/ 2A,2025년 3월,이엠텍㈜ / LG전자㈜,베트남,"결함, 하자 등에 따른 소비자 피해에 대해서는 소비자분쟁해결기준 (소비자 기본법 제 16조)에 따라 보상가능",LG전자 서비스센터 / 1544-7777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIHome,https://www.lge.co.kr/home-iot-product/tmcb2b4w,LG 스마트 버튼 2구,TMCB2B4W,판매중,"46,000원","42,000원","42,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,3.0,"['https://www.lge.co.kr/kr/images/home-iot-product/md10415832/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10415832/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10415832/gallery/small02.jpg']",FreeRTOS,,,,,,,,,,,,,,,66.0 x 33.0 x 13.5,25,"스마트 버튼 2구 본품, 사용설명서, 배터리(CR2032), 메탈플레이트",에센스 화이트,LG 스마트 버튼 2구 / TMCB2B4W,KC 인증마크 추가R-R-LGE-TMCB2B4W (전자파 적합 등록),공정거래위원회(소비자24)제공 인증정보 조회,,2025년 10월,이엠텍㈜ / LG전자㈜,베트남,"결함, 하자 등에 따른 소비자 피해에 대해서는 소비자분쟁해결기준 (소비자 기본법 제 16조)에 따라 보상가능",LG전자 서비스센터 / 1544-7777,Thread,Matter,BLE v5.3,코인배터리 CR2032,스마트 버튼,ThinQ ON 허브 필수 : O,"""한번 누름, 두번 누름, 길게 누름"" 루틴 설정",3V / 코인배터리 (CR2032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIHome,https://www.lge.co.kr/home-iot-product/tmcs2w4w,LG 스마트 조명 스위치 2구,TMCS2W4W,판매중,"96,000원","87,000원","87,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/home-iot-product/md10609831/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10609831/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10609831/gallery/small02.jpg']",,,,,,,,,,,,,,220VAC / 60Hz,,,,"스마트 조명 스위치 버튼 커버, 스마트 조명 스위치 본체, 사용 설명서, 고정용 나사(2EA), 커패시터",에센스 화이트,LG 스마트 조명 스위치 2구 / TMCS2W4W,KC 인증마크 추가SUS2152-24002 (전기용품 안전확인)R-R-LGE_TMCS3W4W (전자파 적합등록),공정거래위원회(소비자24)제공 인증정보 조회,,2025년 10월,"IMS CO.,LTD / LG전자㈜",베트남,"결함, 하자 등에 따른 소비자 피해에 대해서는 소비자분쟁해결기준 (소비자 기본법 제 16조)에 따라 보상가능",LG전자 서비스센터 / 1544-7777,Thread,Matter,BLE v5.3,,,ThinQ ON 허브 필수 : O(ThinQ 앱을 사용하지 않는 물리적 스위치 ON/OFF 기능은 허브 없이 사용 가능),- 조명 원격 ON/OFF 제어- 엣지 라이팅(LED) 모드/색상/밝기 변경- 스마트 루틴,,회로당 600W(2회로),75.0 x 120.0 x 38.5,134 g,352 g,2선식/3선식 공용,"기존에 보유한 스위치가 다음과 같은 경우, 본 제품으로 교체 설치가 불가합니다.- 조명의 색상이나 밝기를 조절하는 조광기/디머(Dimmer) 스위치- 보일러 기능이 포함된 스위치- 일괄 소등 기능이 있는 통합형 스위치- 3로 스위치(2개의 스위치가 하나의 조명을 제어하는 스위치)- 전원선(Live)이 2개 이상 연결되어 있는 스위치- 그 외 54 x 102 x 44/54/75 (WxHxD) 스위치 규격과 맞지 않는 스위치 박스예시) 중2구 스위치, 중4구 스위치, 중5구 스위치",220VAC / 60Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIHome,https://www.lge.co.kr/home-iot-product/tzcdp14b-akori,LG 스마트 도어락 (전문기사 설치),TZCDP14B,판매중,"617,000원","561,000원","493,900원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원) | 사은품 AI HOME 구매사은품(FLO) AI HOME 포토리뷰 이벤트,,,5.0,"['https://www.lge.co.kr/kr/images/home-iot-product/md10624831/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10624831/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10624831/gallery/small02.jpg']",,,,,,,,,,,,,,"DC 6V, 1.5V AA 건전지 x 8EA",,,,"도어락 본체의 실외부와 실내부, 모티스, 설치 부품류, 카드키, 사용설명서, 설치 설명서, 시공지본, 알카라인 AA 건전지(LR6)",,LG 스마트 도어락 / TZCDP14B,KC 인증마크 추가안전확인 신고번호 : B223A5005-20019전자파 적합 승인번호 : R-RS-LGE-TZCDP14B,공정거래위원회(소비자24)제공 인증정보 조회,,2025년 10월,솔리티㈜ / LG전자㈜,대한민국,"결함, 하자 등에 따른 소비자 피해에 대해서는 소비자분쟁해결기준 (소비자 기본법 제 16조)에 따라 보상가능",LG전자 서비스센터 / 1544-7777,Zigbee 3.0,,Bluetooth 5.0,,,"ThinQ ON 허브 필수 : O(사용자별 출입 기록에 따라 스마트루틴으로 다양한 가전과 IoT 제품을 제어하고 실시간 앱 알림을 받으려면 허브가 필수적임, 다만, 물리적 도어락 기능은 ThinQ 앱 및 허브 없이도 사용 가능하고, ThinQ 앱을 통한 사용자 등록/삭제, 음량설정, Apple HomeKit 및 RF447연결 등의 기능은 별도의 허브 없이 사용 가능)",· 사용자 관리· 정기/일회용 비밀번호 관리· 사용자별 출입 및 이상 감지 이력 확인· 다양한 보안 기능과 편리한 모드 설정· 원격 제어,,,,,,,"방화문 (두께 : 40 ~ 60 mm), 설치 환경에 따라 타공 필요","DC 6V, 1.5V AA 건전지 x 8EA",CY8C6247BZI,"1MB Program Flash + 288KB SRAM, 16MB Data Flash","1MB Program Flash + 256KB RAM, 1MB Data Flash",터치 패드,RF 447,아이폰/ 애플 워치 태그로 잠금해제 (Apple Homekey),DC 9V,91.0 x 386.0 x 66.0,91.0 x 386.0 x 68.0,약 3.2Kg (건전지 제외),D-F-T-NK-M,푸쉬풀,"6 ~ 10 자리 숫자, 최대 75개 등록 가능(1인당 최대 2개)(허수 비밀번호 포함 20자리 입력 가능)",최대 50개 등록 가능 (1인당 최대 10개),최대 50개 등록 가능 (1인당 최대 2개),"0 ~ 93 % RH, 비결로 조건",-10 ℃ ~ 55 ℃,"Zn, Al, PC",일회용이며 10~20분동안 유효,"하루종일, 특정 요일/시간대별 설정 가능",외부에서 잠금해제 제한,내부에서 잠금해제 제한,미등록 사용자 연속 3회 반복 입력 시 경고음 발생되고 연속 5회 반복 입력이 되면 1분간 외부에서 잠금 해제 기능 제한,동봉되어 있는 카드키에 한해 복제 방지 적용,전기 충격에 대한 문열림 방지,높은 온도(60 ℃ ± 10 ℃)가 감지되면 안전을 위해 강력한 경고음 발생과 함께 잠금 상태를 자동으로 해제,문이 잠긴 상태에서 비정상적인 문 열림이 감지되면 80 dB(데시벨) 이상의 경고음이 발생,,,,,,,,,,,,,,,,,,,,,,,,
AIHome,https://www.lge.co.kr/home-iot-product/tmsdaa4w,LG 도어 센서,TMSDAA4W,판매중,"62,000원","56,000원","56,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,,"['https://www.lge.co.kr/kr/images/home-iot-product/md10415840/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10415840/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10415840/gallery/small02.jpg']",FreeRTOS,,,,,,,,,,,,,,,,"19 (도어센서 13g, 마그넷 6g)","도어센서 본체, 마그넷, 사용설명서, 배터리(CR2032), 브라켓(본체 고정용)",에센스 화이트,LG 도어 센서 / TMSDAA4W,KC 인증마크 추가R-R-LGE-TMSDAA4W (전자파 적합 등록),공정거래위원회(소비자24)제공 인증정보 조회,,2025년 10월,이엠텍㈜ / LG전자㈜,베트남,"결함, 하자 등에 따른 소비자 피해에 대해서는 소비자분쟁해결기준 (소비자 기본법 제 16조)에 따라 보상가능",LG전자 서비스센터 / 1544-7777,Thread,Matter,BLE v5.3,코인배터리 CR2032,접촉 센서,ThinQ ON 허브 필수 : O,"""문 열림, 문 닫힘"" 알림 및 루틴 설정",3V / 코인배터리 (CR2032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0 x 32.0 x 12.7,12.7 x 32.0 x 12.7,,,,,,,,,,,,,,,,,,,,,,
AIHome,https://www.lge.co.kr/home-iot-product/tmcp114w,LG 스마트 플러그,TMCP114W,판매중,"74,000원","67,000원","67,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/home-iot-product/md10609829/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10609829/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10609829/gallery/small02.jpg']",,,,,,,,,,,,,,220VAC/50mA,,42.0 x 42.0 x 76.7,69,"스마트플러그 본체, 사용설명서",에센스 화이트,LG 스마트 플러그 / TMCP114W,KC 인증마크 추가SU04400-24001 (전기용품 안전확인)R-R-LGE-TMCP114W (전자파 적합등록),공정거래위원회(소비자24)제공 인증정보 조회,,2025년 10월,"IMS CO.,LTD / LG전자㈜",베트남,"결함, 하자 등에 따른 소비자 피해에 대해서는 소비자분쟁해결기준 (소비자 기본법 제 16조)에 따라 보상가능",LG전자 서비스센터 / 1544-7777,Thread,Matter,BLE v5.3,,,ThinQ ON 허브 필수 : O,· 원격 제어· 전력/전압/전류 모니터링,,,,,,,,250V~ 50/60Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1W(Max),16A(Max),3520W(Max),제품 내부 온도가 85° 이상 감지되면 제품에 연결된 부하의  전원 차단,제품에 연결된 부하의 사용 전류가 16A 이상 감지되면 연결된 부하의 전원 차단,,,,,,,,,,,,,,,,,
AIHome,https://www.lge.co.kr/home-iot-product/tmsmaa4w,LG 모션/조도 센서,TMSMAA4W,판매중,"83,000원","75,000원","75,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,,"['https://www.lge.co.kr/kr/images/home-iot-product/md10609828/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10609828/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10609828/gallery/small02.jpg']",FreeRTOS,,,,,,,,,,,,,,,37.2 x 37.2 x 42.4,31,"모션/조도 센서 본체, 사용설명서, 배터리(CR2450), 메탈플레이트",에센스 화이트,LG 모션/조도 센서 / TMSMAA4W,KC 인증마크 추가R-R-LGE-TMSMAA4W (전자파 적합 등록),공정거래위원회(소비자24)제공 인증정보 조회,,2025년 10월,이엠텍㈜ / LG전자㈜,베트남,"결함, 하자 등에 따른 소비자 피해에 대해서는 소비자분쟁해결기준 (소비자 기본법 제 16조)에 따라 보상가능",LG전자 서비스센터 / 1544-7777,Thread,Matter,BLE v5.3,코인배터리 CR2450,,ThinQ ON 허브 필수 : O,"""움직임 있음, 움직임 없음"" 알림, 조도값 측정 및 루틴 설정",3V / 코인배터리 (CR2450),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIHome,https://www.lge.co.kr/home-iot-product/tmstaa4w,LG 온습도 센서,TMSTAA4W,판매중,"59,000원","54,000원","54,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/home-iot-product/md10415838/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10415838/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10415838/gallery/small02.jpg']",FreeRTOS,,,,,,,,,,,,,,,33.0 x 33.0 x 13.5,9,"온습도 센서 본체, 사용설명서, 배터리(CR2032), 메탈플레이트",에센스 화이트,LG 온습도 센서 / TMSTAA4W,KC 인증마크 추가R-R-LGE-TMSTAA4W (전자파 적합 등록),공정거래위원회(소비자24)제공 인증정보 조회,,2025년 10월,이엠텍㈜ / LG전자㈜,베트남,"결함, 하자 등에 따른 소비자 피해에 대해서는 소비자분쟁해결기준 (소비자 기본법 제 16조)에 따라 보상가능",LG전자 서비스센터 / 1544-7777,Thread,Matter,BLE v5.3,코인배터리 CR2032,,ThinQ ON 허브 필수 : O,"""온도, 습도"" 감지 및 루틴 설정",3V / 코인배터리 (CR2032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIHome,https://www.lge.co.kr/home-iot-product/tmsa2a4w,LG 공기질 센서,TMSA2A4W,판매중,"168,000원","153,000원","153,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,,"['https://www.lge.co.kr/kr/images/home-iot-product/md10415836/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10415836/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10415836/gallery/small02.jpg']",FreeRTOS,,,,,,,,,,,,,,,70.0 x 70.0 x 21.8,68,"공기질 센서 본체, 사용설명서, USB 케이블",에센스 화이트,LG 공기질 센서 / TMSA2A4W,KC 인증마크 추가R-R-LGE-TMSA2A4W (전자파 적합 등록),공정거래위원회(소비자24)제공 인증정보 조회,,2025년 10월,이엠텍㈜ / LG전자㈜,베트남,"결함, 하자 등에 따른 소비자 피해에 대해서는 소비자분쟁해결기준 (소비자 기본법 제 16조)에 따라 보상가능",LG전자 서비스센터 / 1544-7777,Thread,Matter,BLE v5.3,,,ThinQ ON 허브 필수 : O,"""온도, 습도, 공기질(미세먼지), CO2"" 감지 및 루틴 설정",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5V, min 1A",<1W,"5V, min 1A",,,,,,,,,,,,,,
AIHome,https://www.lge.co.kr/home-iot-product/lkw-lb032-w,헤이홈 스마트 전구 화이트,LKW-LB032-W,판매중,"22,000원","20,000원","20,000원",제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,,['https://www.lge.co.kr/kr/images/home-iot-product/md10451829/gallery/small01.jpg'],,,,,,,,,,,,,,"AC 220V,60 Hz",,55 x 55 x 110,약 131g,,,헤이홈 스마트 전구 화이트,"KC 인증마크 추가R-R-LgN-LKW-LB032-RGBW (전자파 적합등록),SU11589-18001A (전기용품 안전확인)",공정거래위원회(소비자24)제공 인증정보 조회,,2025년 1월,"Shenzhen Lingan Intelligent Technology Co.,Ltd / 고퀄㈜",중국,"결함, 하자 등에 따른 소비자 피해에 대해서는 소비자분쟁해결기준 (소비자 기본법 제 16조)에 따라 보상가능",㈜고퀄 / T.1644-7098,,,,,,,,,,,,,,,"AC 220V, 60Hz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8W,,,,,,,,Wi-Fi(2.4GHz),39mA,3000K ~ 6500K,650lm(밝기 100%로 설정된 경우),90%,Warm White,E26,"수명 약 20,000 시간",* 제품 사양은 성능 향상을 위해 사전 예고없이 변경될 수 있습니다.* 무게는 제품 구성 및 제조 여건에 따라 달라질 수 있습니다.,,,,,
AIHome,https://www.lge.co.kr/home-iot-product/lkw-lb032-r,헤이홈 스마트 전구 컬러,LKW-LB032-R,판매중,"24,000원","22,000원","22,000원",제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,['https://www.lge.co.kr/kr/images/home-iot-product/md10451828/gallery/small02.jpg'],,,,,,,,,,,,,,"AC 220V,60 Hz",,55 x 55 x 110,약 131g,,,헤이홈 스마트 전구 컬러,KC 인증마크 추가R-R-LgN-LKW-LB032-RGBW (전자파 적합등록)SU11589-18001B (전기용품 안전확인),공정거래위원회(소비자24)제공 인증정보 조회,,2025년 1월,"Shenzhen Lingan Intelligent Technology Co.,Ltd / 고퀄㈜",중국,"결함, 하자 등에 따른 소비자 피해에 대해서는 소비자분쟁해결기준 (소비자 기본법 제 16조)에 따라 보상가능",㈜고퀄 / T.1644-7098,,,,,,,,,,,,,,,"AC 220V, 60Hz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8W,,,,,,,,Wi-Fi(2.4GHz),39mA,6500K,700lm(밝기 100%로 설정된 경우),90%,RGB & Cool White,E26,"수명 약 20,000 시간, 표현색상수 1600만 가지",* 제품 사양은 성능 향상을 위해 사전 예고없이 변경될 수 있습니다.* 무게는 제품 구성 및 제조 여건에 따라 달라질 수 있습니다.,,,,,
AIHome,https://www.lge.co.kr/home-iot-product/gkw-md082,헤이홈 스마트 무드등,GKW-MD082,판매중,"55,000원","50,000원","50,000원",제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.0,['https://www.lge.co.kr/kr/images/home-iot-product/md10451844/gallery/small01.jpg'],,,,,,,,,,,,,,DC 12V/1A,,100 x 100 x 186,약 550g,,,헤이홈 스마트 무드등,KC 인증마크 추가R-R-GQL-GKW-MD082 (전자파 적합등록),공정거래위원회(소비자24)제공 인증정보 조회,,2025년 3월,,중국,"결함, 하자 등에 따른 소비자 피해에 대해서는 소비자분쟁해결기준 (소비자 기본법 제 16조)에 따라 보상가능",㈜고퀄 / T.1644-7098,,,,,,,,,,,,,,,DC 12V/1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wi-Fi(2.4GHz),,3000K,,,RGB & Warm White,,표현색상수 1600만 가지,* 제품 사양은 성능 향상을 위해 사전 예고없이 변경될 수 있습니다.* 무게는 제품 구성 및 제조 여건에 따라 달라질 수 있습니다.,㈜고퀄,,,,
AIHome,https://www.lge.co.kr/home-iot-product/haal3w,LG 보이스 컨트롤러,HAAL3W,판매중,"90,000원","82,000원","82,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.0,"['https://www.lge.co.kr/kr/images/home-iot-product/md10451834/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10451834/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/home-iot-product/md10451834/gallery/small02.jpg']",RTOS,,200Hz,"Mono, 2W",2x MEMs MIC,"Wi-Fi 4 (802.11 b/g/n, 2.4GHz)",,,,,"RGB LED, 3ea","1x Touch (제품등록,호출어대체, Mic On/Off)",,5 V/1 A (5W),,82.0 x 82.0 x 31.0,,"보이스컨트롤러 본체, 사용설명서, USB 케이블",에센스 화이트,LG 보이스컨트롤러 / HAAL3W,KC 인증마크 추가R-R-LGE-HAAL3W (전자파 적합등록),공정거래위원회(소비자24)제공 인증정보 조회,DC 5V/ 1A,2025년 10월,이엠텍㈜ / LG전자㈜,베트남,"결함, 하자 등에 따른 소비자 피해에 대해서는 소비자분쟁해결기준 (소비자 기본법 제 16조)에 따라 보상가능",LG전자 서비스센터 / 1544-7777,,,,,,,,,,,,,,,,"DQ-C, Cortex-M4 @ 200 MHz Dual LNE 2 Tilelets @133MHz",,,,,,,,,97g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5MB(MCU Internal),128 MB NAND,BLE 4.2,미지원
