제품군,URL,제품명,모델명,상태,정가,판매가,최대혜택가,구매혜택안내,6년구독가격,최대혜택구독가격,평점,이미지리스트,해상도,밝기,최대 화면 크기,화면 투사 방식,"100"" 기준 벽면-제품간 거리",무선 사운드 연결,무선 컨텐츠 연결,HDMI (ARC),USB,RJ45,Optical Audio Out,키스톤,줌,렌즈Shift,포커스조절,일반리모컨,설명서,광원,명암비,HDR,어탭티브 콘트라스트,최소 절전/중간 절전/ 최대 절전 [dB(A)],무게 (kg),"크기 (WxHxD, mm)",WIFI,스마트(OS),품명 및 모델명,KC 인증 필 유무,KC인증조회,정격전압,소비전력 (W),동일 모델의 출시년월,제조국,품질보증기준,A/S책임자와 전화번호,"제조자, 수입자",사운드,안테나 In (RF in),HDMI,USB 파일뷰어,초고속 on/off,매직리모컨,비고,"크기 (WxHxD, mm) * 받침다리 포함","크기 (WxHxD, mm) * 받침다리 제외",RS-232C,12V Trigger,웹OS,클리어 보이스 III,돌비 서라운드,Headphone,수명,HDTV,무게,구성품,화면 대각선 크기,벽면-제품간 거리,포커스 조절,채널수,출력,패시브 래디에이터,제조자(수입자),KC 인증조회,색상,재질,높이,판매자,고객센터 상담시간,서라운드 시스템,오토캘리브레이션 (Auto Calibration),Iris 모드,트루모션,리얼시네마 *,사이즈(LxHxW),광원 방식,광원 수명,밝기(안시루멘),투사율,렌즈 시프트,프로젝션 오프셋,"소음 (db, 에너지세이빙 모드시, Typ.)","소음 (db, 에너지세이빙 Off시, Typ.)",렌즈 줌 배율,렌즈 포커스 조정 방법,디지털 키스톤 보정,오토 키스톤,화면비율 (종횡비),DICOM 모드,Blank 기능,이미지 반전 기능,엣지 블랜딩 기능,타일 모드 (화면연계 구현),PIP,POP,데이지 체인,LG 사운드싱크(사운드바 연결),Audio Out,USB 2.0,IP control,HDBaseT,디지털 신호범위(HDMI),RS-232C(in),RS-232C(out),HDMI(in),HDMI(out),Mic in,HDCP,HDMI ARC 지원,HDMI CEC 지원,방진 기능,에너지세이빙 모드,Auto Off / Auto Sleep,전원 On/Off 시간 설정 기능,전원 대기/Off 자동 설정 기능,제품 외관 색상,제품 Local Key,켄싱턴락,리모컨,사용자 매뉴얼,퀵 가이드,워런티 카드,RS232C 케이블,파워코드,포장 외관 크기 (mm) (W x D x H),"포장 전체 무게 (제품 포함, kg)",무선화면공유 (무선 미러링),콘텐츠 공유 (DLNA지원기기),Plug & Play (자동 입력 감지 RGB/DVI/HDMI),내장 메모리,소비 전력 (Max.),대기 전력,화면 크기 (대각선 기준),Screen Share,LG 사운드 Sync,Plug & Play,DLNS,Zoom,웹 OS,절전모드 지원
프로젝터,https://www.lge.co.kr/projectors/pu615ubxo2tbe,LG 시네빔 쇼츠 (빔프로젝터)+ LG 엑스붐 360,PU615UBXO2TBE,판매중,"2,069,000원","1,930,000원","1,701,900원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,['https://www.lge.co.kr/kr/images/projectors/md10686826/gallery/small01.jpg'],4K UHD (3840 x 2160),500 안시 루멘,101.6cm ~ 254.0cm (스크린 40 ~ 100 inch),초단초점,"100"" 0.39m",O,"O (미라캐스트, AirPlay 2)",eARC,O (USB Type-C x 2),X,X,오토 키스톤 / 수동 키스톤 (4/9/15 포인트 와핑),Fixed,-,O,O,O,RGB Laser,"450,000:1","O  (HDR10, HLG, HDR 다이내믹 톤 조정)",-,29/27/25,1.9,110 x 160 x 160,O,webOS 24,LG 시네빔 쇼츠 (PU615U) 빔프로젝터,KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-PU615U (전자파 적합등록),공정거래위원회(소비자24)제공 인증정보 조회,100-240 V ~ 50/60 Hz,65,2025-07,한국 / 중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/pu615ubbounce,LG 시네빔 쇼츠 (빔프로젝터)+ LG 엑스붐 바운스,PU615UBBOUNCE,판매중,"2,049,000원","1,910,000원","1,683,300원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,['https://www.lge.co.kr/kr/images/projectors/md10686829/gallery/small01.jpg'],4K UHD (3840 x 2160),500 안시 루멘,101.6cm ~ 254.0cm (스크린 40 ~ 100 inch),초단초점,"100"" 0.39m",O,"O (미라캐스트, AirPlay 2)",eARC,O (USB Type-C x 2),X,X,오토 키스톤 / 수동 키스톤 (4/9/15 포인트 와핑),Fixed,-,O,O,O,RGB Laser,"450,000:1","O  (HDR10, HLG, HDR 다이내믹 톤 조정)",-,29/27/25,1.9,110 x 160 x 160,O,webOS 24,LG 시네빔 쇼츠 (PU615U) 빔프로젝터,KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-PU615U (전자파 적합등록),공정거래위원회(소비자24)제공 인증정보 조회,100-240 V ~ 50/60 Hz,65,2025-07,한국 / 중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/hu710pb,LG 시네빔 큐브 (Qube)투사형,HU710PB,일시품절,"1,490,000원","1,390,000원","1,227,600원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/projectors/md10331827/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10331827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10331827/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10331827/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10331827/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10331827/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10331827/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10331827/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10331827/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10331827/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10331827/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10331827/gallery/small11.jpg']",4K UHD (3840 x 2160),"500 ANSI Lumen** ANSI Lumen : 미국표준협회(ANSI) 표준에 의한 프로젝터 밝기 단위이며, 최대밝기 조건에서 측정한 결과임.",스크린 50~120 (127cm ~305cm),투사형,,○ (Bluetooth),"O (미라캐스트, AirPlay 2)",eARC,O (USB Type-C x 1),X,X,오토 키스톤 / 수동 키스톤(4/9/15 포인트 와핑),Fixed,X,O,O (매직 리모컨 호환 가능 AKB76039501),O,RGB Laser,"450,000:1","O  (HDR10, HLG, HDR 다이내믹 톤 보정)",X,29/27/25,1.49,80 x 135 x 135,O,,LG 시네빔 큐브 (Qube) (HU710PB),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-HU710PB (전자파 적합등록),공정거래위원회(소비자24)제공 인증정보 조회,100-240 V ~ 50/60 Hz,65,2024-03,한국 / 중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자(주),,,,,,,,,,,,webOS 6.0 (Smart),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/hu810pw,LG 시네빔 Laser 4K투사형,HU810PW,일시품절,"3,090,000원","2,300,000원","2,027,400원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.7,"['https://www.lge.co.kr/kr/images/projectors/md08749625/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08749625/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08749625/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08749625/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08749625/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08749625/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08749625/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08749625/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08749625/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08749625/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08749625/gallery/small10.jpg']",4K UHD (3840 x 2160),"2,160 ANSI Lumen* / 2,700 Lumen*** ANSI Lumen : 미국표준협회(ANSI) 표준에 의한 프로젝터 밝기 단위이며, 최대밝기 조건에서 측정한 결과임.** Lumen : 고효율 광원의 프로젝터에서 고객이 인지하는 밝기이며, 자사시험기준으로 평가한 상대적 체감 밝기임.",762 cm (스크린 300),투사형,,"○ (Bluetooth, WiSA Ready)","O (미라캐스트, AirPlay 2)",,O (USB2.0 x2),O (RJ45 x1),O (S/PDIF x1),O (4 / 8 / 12 포인트 와핑-수동),O  (x1.6),O  (수직 ±60% / 수평 ±24%),O,,O,듀얼 레이저,"2,000,000:1","O  (HDR10, HLG, HDR 다이내믹 톤 조정)",O,28/27/26,11,,O,,DLP Projector(HU810PW),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-HU810PW (전자파 적합등록)ZK10007-20002 (전기용품 안전확인),공정거래위원회(소비자24)제공 인증정보 조회,100-240 V ~ 50/60 Hz,300,2020-11,한국 / 중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자(주),5 W + 5 W,,"O (HDMI 2.1 x1, HDMI 2.0 x2) *",,O,O,"* 리얼시네마 : 이미지 품질 손상없이 원본의 24Hz 컨텐츠를 그대로 재생함* 돌비애트모스 호환 : 돌비애트모스 지원 스피커 연결 지원을 의미하며, 프로젝터 내장 스피커 자체의 돌비애트모스 출력이 아님* 오토 캘리브레이션 II : 전문 캘리브레이션 장비 및 CalMan 프로그램 필요* HDMI2.1 : (입력) 최대 24Gbps 지원 (출력) RGB/4:4:4/10bit 지원 / eARC 및 ALLM 지원* 크기: 돌출된 투사렌즈부, 튜너 등 제외한 규격임",337 x 410 x 151,337 x 410 x 145,O,O,webOS 5.0,○,,,,,,,,,,,,,,,,,,,,돌비애트모스 호환 (Dolby Atmos pass through) *,O (Auto CalibrationⅡ) *,O (주간모드 / 야간모드),O (4K 트루모션),O (4K 리얼시네마),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/cinebeam-qube-cover,LG 시네빔 큐브 커버,Cinebeam Qube Cover,판매예정,,,,,,,5.0,['https://www.lge.co.kr/kr/images/projectors/md10536830/gallery/small02.jpg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,보이아(VOIA)02-707-1033 온라인 고객센터 내선 3번,,,,,,,,,,,,,,,,,,,,,,,,,,,보이아(VOIA),,브라운,"에폭시, PU",,LG전자㈜,"평일 09:00 ~ 17:30 (점심시간 : 11:30 ~ 12:30)주말, 공휴일은 휴무",,,,,,88mm x 141mm x 152mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/cinebeam-qube-battery-cover,LG 시네빔 큐브 배터리 커버,Cinebeam Qube Battery Cover,판매예정,,,,,,,5.0,"['https://www.lge.co.kr/kr/images/projectors/md10522831/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10522831/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10522831/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10522831/gallery/small05.jpg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,브라운,"아크릴, PU",,,,,,,,,88mm x 158mm x 202mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/cinebeam-qube-stand,LG 시네빔 큐브 스탠드,Cinebeam Qube Stand,판매예정,,,,,,,5.0,['https://www.lge.co.kr/kr/images/projectors/md10536831/gallery/small02.jpg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,보이아(VOIA)02-707-1033 온라인 고객센터 내선 3번,,,,,,,,,,,,,,,,,,,,,,,,,,,보이아(VOIA),,실버,Aluminium alloy,최소 575mm / 최대 975mm,LG전자㈜,"평일 09:00 ~ 17:30 (점심시간 : 11:30 ~ 12:30)주말, 공휴일은 휴무",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/bu60rg,LG 프로빔 (상업용),BU60RG,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/projectors/md10626840/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10626840/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10626840/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10626840/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10626840/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10626840/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10626840/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10626840/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10626840/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10626840/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10626840/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10626840/gallery/small11.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10626840/gallery/small12.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10626840/gallery/small13.jpg']",4K UHD (3840 x 2160),,40 ~ 300 inch,,,○ (Bluetooth),,,,1,,,,,,,,Laser (LD + P/W),"3,000,000:1 이상",○,,,9.7,,,,DLP Projector (BU60RG),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-BU60RG(전자파 적합등록)ZU10899-23004 (전기용품 안전확인),공정거래위원회(소비자24)제공 인증정보 조회,100V – 240V @ 50~60 Hz (PSU Built-in),,2023-11,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자㈜,10W (5W+5W),,,,,,,370 x 290 x 155.7,370 x 290 x 143.7,,,Signage webOS 6.0,○,,,,,,,,,,,,,,공정거래위원회(소비자24)제공 인증정보 조회,,,,,,,,,○,,,DLP,"20,000 시간","4,800 / 6,000",1.30 ~ 2.08,○ ( Horiz ± 20% / Vert ± 50% ),100%,30,29,1.6x,Manual,Warping (4/9/15/25/HV),X,16:6 / 16:9 / 16:10 / 21:9 / 4:3,○,○,○ (Horizontal/Vertical),X,X,○,○,X,○,○ (Phone jack),2,○,X,"Up to 4K (4096x2160) (60Hz, 50Hz, 24Hz)",1,1,2,X,X,HDCP2.2,○,○,X,○ (Min/Mid/Max),○,○ (On / Off),○,Top/Bottom  - WhiteFront/Rear - Gray,Joystick,○,○,○,○,○,1,1,580 x 441 x 273,11.5,○,○,○,○ (about 9G),460W,0.5W 이하,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/bu50rg,LG 프로빔 (상업용),BU50RG,비판매상품,,,,,,,5.0,"['https://www.lge.co.kr/kr/images/projectors/md10652828/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652828/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652828/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652828/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652828/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652828/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652828/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652828/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652828/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652828/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652828/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652828/gallery/small11.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652828/gallery/small12.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652828/gallery/small13.jpg']",4K UHD (3840 x 2160),,40 ~ 300 inch,,,○ (Bluetooth),,,,1,,,,,,,,Laser (LD + P/W),"3,000,000:1 이상",○,,,9.7,,,,DLP Projector (BU50RG),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-BU60RG(전자파 적합등록)ZU10899-23005 (전기용품 안전확인),공정거래위원회(소비자24)제공 인증정보 조회,100V – 240V @ 50~60 Hz (PSU Built-in),,2023-11,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자㈜,10W (5W+5W),,,,,,,370 x 290 x 155.7,370 x 290 x 143.7,,,Signage webOS 6.0,○,,,,,,,,,,,,,,공정거래위원회(소비자24)제공 인증정보 조회,,,,,,,,,○,,,DLP,"20,000 시간","4,000 / 5,000",1.30 ~ 2.08,○ ( Horiz ± 20% / Vert ± 50% ),100%,27,26,1.6x,Manual,Warping (4/9/15/25/HV),X,16:6 / 16:9 / 16:10 / 21:9 / 4:3,○,○,○ (Horizontal/Vertical),X,X,○,○,X,○,○ (Phone jack),2,○,X,"Up to 4K (4096x2160) (60Hz, 50Hz, 24Hz)",1,1,2,X,X,HDCP2.2,○,○,X,○ (Min/Mid/Max),○,○ (On / Off),○,Top/Bottom  - WhiteFront/Rear - Black,Joystick,○,○,○,○,○,1,1,580 x 441 x 273,11.5,○,○,○,○ (about 9G),400W,0.5W 이하,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/bf50rg,LG 프로빔 (상업용),BF50RG,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/projectors/md10652829/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652829/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652829/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652829/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652829/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652829/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652829/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652829/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652829/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652829/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652829/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652829/gallery/small11.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652829/gallery/small12.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652829/gallery/small13.jpg']",WUXGA (1920 x 1200),,40 ~ 300 inch,,,○ (Bluetooth),,,,1,,,,,,,,Laser (LD + P/W),"3,000,000:1 이상",○,,,9.2,,,,DLP Projector (BF50RG),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-BU60RG(전자파 적합등록)ZU10899-23005 (전기용품 안전확인),공정거래위원회(소비자24)제공 인증정보 조회,100V – 240V @ 50~60 Hz (PSU Built-in),,2024-02,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자㈜,10W (5W+5W),,,,,,,370 x 290 x 155.7,370 x 290 x 143.7,,,Signage webOS 6.0,○,,,,,,,,,,,,,,공정거래위원회(소비자24)제공 인증정보 조회,,,,,,,,,○,,,DLP,"20,000 시간","4,000 / 5,000",1.30 ~ 2.08,○ ( Horiz ± 20% / Vert ± 50% ),100%,27,26,1.6x,Manual,Warping (4/9/15/25),X,16:6 / 16:9 / 16:10 / 21:9 / 4:3,○,○,○ (Horizontal/Vertical),X,X,○,○,X,○,○ (Phone jack),2,○,X,"Up to 4K (4096x2160) (60Hz, 50Hz, 24Hz)",1,1,2,X,X,HDCP2.2,○,○,X,○ (Min/Mid/Max),○,○ (On / Off),○,Top/Bottom  - WhiteFront/Rear - Black,Joystick,○,○,○,○,○,1,1,580 x 441 x 273,11.0,○,○,○,○ (about 9G),400W,0.5W 이하,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/bf60rg,LG 프로빔 (상업용),BF60RG,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/projectors/md10652830/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652830/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652830/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652830/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652830/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652830/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652830/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652830/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652830/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652830/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652830/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652830/gallery/small11.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652830/gallery/small12.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10652830/gallery/small13.jpg']",WUXGA (1920 x 1200),,40 ~ 300 inch,,,○ (Bluetooth),,,,1,,,,,,,,Laser (LD + P/W),"3,000,000:1 이상",○,,,9.2,,,,DLP Projector (BF60RG),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-BU60RG(전자파 적합등록)ZU10899-23004 (전기용품 안전확인),공정거래위원회(소비자24)제공 인증정보 조회,100V – 240V @ 50~60 Hz (PSU Built-in),,2024-02,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자㈜,10W (5W+5W),,,,,,,370 x 290 x 155.7,370 x 290 x 143.7,,,Signage webOS 6.0,○,,,,,,,,,,,,,,공정거래위원회(소비자24)제공 인증정보 조회,,,,,,,,,○,,,DLP,"20,000 시간","4,800 / 6,000",1.30 ~ 2.08,○ ( Horiz ± 20% / Vert ± 50% ),100%,30,29,1.6x,Manual,Warping (4/9/15/25),X,16:6 / 16:9 / 16:10 / 21:9 / 4:3,○,○,○ (Horizontal/Vertical),X,X,○,○,X,○,○ (Phone jack),2,○,X,"Up to 4K (4096x2160) (60Hz, 50Hz, 24Hz)",1,1,2,X,X,HDCP2.2,○,○,X,○ (Min/Mid/Max),○,○ (On / Off),○,Top/Bottom  - WhiteFront/Rear - Gray,Joystick,○,○,○,○,○,1,1,580 x 441 x 273,11.0,○,○,○,○ (about 9G),460W,0.5W 이하,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/bu70qga,LG 프로빔 Laser 4K (상업용),BU70QGA,비판매상품,,,,,,,,"['https://www.lge.co.kr/kr/images/projectors/md09868827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09868827/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09868827/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09868827/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09868827/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09868827/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09868827/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09868827/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09868827/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09868827/gallery/small10.jpg']",4K UHD (3840 x 2160),"5,600 ANSI Lumen* / 7,000 Lumen*** ANSI Lumen : 미국표준협회(ANSI) 표준에 의한 프로젝터 밝기 단위이며, 최대밝기 조건에서 측정한 결과임.** Lumen : 고효율 광원의 프로젝터에서 고객이 인지하는 밝기이며, 자사시험기준으로 평가한 상대적 체감 밝기임.",,,,O,O,,O [USB(2.0/Type-A) x2],O (RJ45 x1),,,,"O /(H± 28% / V+ 60%, - 33%)",O,O,O,,"3,000,000:1",O,,35 / 33 / 31,17.8,570 x 160 x 360,,,DLP Projector (BU70QGA),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-BU70QGA (전자파 적합등록)ZU10899-22006 (전기용품 안전확인),공정거래위원회(소비자24)제공 인증정보 조회,100-240 V ~ 50/60 Hz,500,2022-12,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자(주),10 W (5 W+5 W) Speaker,,O (HDMI 2.0 x 3),,,,,,,O,,,○,,,,,,,,,,,,,,,,,,,,X,,,,,,Laser,"20,000 시간",,1.53 ~ 2.45,,,,,,,,,,,O,,,,,,,,○ (Phone jack),,○,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102cm ~ 762cm (스크린 40 ~ 스크린 300),O,O,O,O,O /(1~1.6x),Signage webOS ECO,O
